2022-23 Low Income Schools Percent Low Income,,,,
Private and Nonpublic Schools,,,,
,,,,
AUN,School Name,PNP County,District Name,Percent
300140500,Bellefonte Playschool of FUMC,Centre,Bellefonte Area SD,0.0
211441053,Belleville Mennonite School,Mifflin,Mifflin County SD,28.7
213360632,Belmont Special Education Sch,Lancaster,Pequea Valley SD,0.0
300230300,Benchmark School,Delaware,Rose Tree Media SD,32.1
310140003,Bennett Family Center,Centre,State College Area SD,0.0
214062752,Berks Catholic High School,Berks,Reading SD,37.7
214060782,Berks Christian School,Berks,Exeter Township SD,36.6
224150003,Beth Israel Kindergarten,Chester,Downingtown Area SD,0.0
219353289,Beth Shalom Academy,Lackawanna,Scranton SD,100.0
211441033,Beth-El Christian Day School,Mifflin,Mifflin County SD,0.0
224150922,Bethany Christian School,Chester,Oxford Area SD,6.5
213360572,Bethany Parochial School,Lancaster,Eastern Lancaster County SD,0.0
226510512,Bethel Baptist Academy,Philadelphia,Philadelphia City SD,65.6
227041005,Bethel Christian School,Beaver,Hopewell Area SD,0.0
300250720,Bethel Christian School of Erie,Erie,Erie City SD,33.3
214060602,Bethel Dunkard Breth Chrst Sch,Berks,Tulpehocken Area SD,0.0
213360712,Bethel Mennonite School,Lancaster,Solanco SD,0.0
300650750,Bethel Nursery School,Westmoreland,Burrell SD,0.0
220480502,Bethlehem Catholic High School,Northampton,Bethlehem Area SD,19.9
220480532,Bethlehem Christian School,Northampton,Bethlehem Area SD,0.0
220480552,Bethlehem Christian School,Northampton,Bethlehem Area SD,0.0
226510695,Beulah Baptist Christian Day Sch,Philadelphia,Philadelphia City SD,19.7
212671503,Bible Baptist Christian Academy,York,Northeastern York SD,0.0
207650905,Bible Baptist Chrst Academy,Westmoreland,Greater Latrobe SD,14.3
300518770,Big Backyard,Philadelphia,Philadelphia City SD,0.0
224153164,Birdell School,Chester,Coatesville Area SD,0.0
202021005,Bishop Canevin High School,Allegheny,Pittsburgh SD,21.1
202025455,Bishop Canevin HS,Allegheny,Pittsburgh SD,60.0
208110505,Bishop Carroll High School,Cambria,Central Cambria SD,9.7
208071005,Bishop Guilfoyle Catholic High School,Blair,Altoona Area SD,16.4
208110755,Bishop McCort High School,Cambria,Greater Johnstown SD,24.4
215221003,Bishop McDevitt High School,Dauphin,Central Dauphin SD,37.5
224151502,Bishop Shanahan High School,Chester,Downingtown Area SD,0.0
213360652,Black Creek Amish School,Lancaster,Eastern Lancaster County SD,0.0
211341503,Black Rock Amish School,Juniata,Juniata County SD,0.0
213360066,Blackhorse School,Lancaster,Pequea Valley SD,0.0
226510682,Blair Christian Acad & Presch,Philadelphia,Philadelphia City SD,72.1
208071055,Blair County Christian School,Blair,Hollidaysburg Area SD,0.0
203025445,Blessed Francis Seelos Academy,Allegheny,Pine-Richland SD,28.5
205250504,Blessed Sacrament School,Erie,Erie City SD,49.2
203027365,Blessed Trinity Academy,Allegheny,Fox Chapel Area SD,17.1
226519422,Blessed Trinity Regional Catholic School,Philadelphia,Philadelphia City SD,0.0
225231202,Blessed Virgin Mary School,Delaware,William Penn SD,0.0
205201204,Blooming Valley Mennonite School,Crawford,Penncrest SD,0.0
216190503,Bloomsburg Christian School,Columbia,Bloomsburg Area SD,0.0
206330010,Blose Hill Amish School,Jefferson,Punxsutawney Area SD,0.0
212670001,Blue Bird Meadow School,York,South Eastern SD,0.0
214061052,Blue Mountain Academy,Berks,Hamburg Area SD,38.4
214061002,Blue Mountain SDA Elementary Sch,Berks,Hamburg Area SD,37.5
214061082,Blue Mountain View Paroch Sch,Berks,Tulpehocken Area SD,0.0
213383303,Blue Mt Christian School,Lebanon,Northern Lebanon SD,0.0
215210000,Blue Ridge Mennonite,Cumberland,Carlisle Area SD,0.0
213360662,Blue Rock Mennonite School,Lancaster,Penn Manor SD,0.0
210140493,Bower Hollow Parochial Sch,Centre,Penns Valley Area SD,0.0
213367669,Boyers Run Mennonite School,Lancaster,Manheim Central SD,0.0
209420254,Bradford Area Christian Academy,McKean,Bradford Area SD,17.4
300630351,Bradley School,Allegheny,Montour SD,54.4
205250002,Breezeway Amish School,Erie,Northwestern SD,0.0
224150017,Breezewood Amish School,Chester,Octorara Area SD,0.0
206207582,Breezy Acres Amish School,Crawford,Titusville Area SD,0.0
214064980,Breezy Corner Parochial School,Berks,Brandywine Heights Area SD,0.0
211340000,Breezy Hollow Amish School,Juniata,Juniata County SD,0.0
228321055,Breezy Lane School,Indiana,United SD,0.0
210186994,Breezy Meadows Amish School,Clinton,Keystone Central SD,0.0
216470003,Breezy Meadows School,Montour,Warrior Run SD,0.0
224151552,Brick Amish School,Chester,Octorara Area SD,0.0
213360682,Brick Amish School,Lancaster,Solanco SD,0.0
300512140,Bridge School,Philadelphia,Philadelphia City SD,100.0
326510170,Bridge Way School,Philadelphia,Philadelphia City SD,40.0
205201404,Bridgeview Amish School,Crawford,Conneaut SD,0.0
216600603,Bridgeville Parochial School,Union,Mifflinburg Area SD,0.0
213360722,Bridgeville School,Lancaster,Eastern Lancaster County SD,0.0
303028816,Bright Horizons at AGH,Allegheny,Pittsburgh SD,0.0
300461160,Bright Spot Child Care,Montgomery,Perkiomen Valley SD,0.0
205201304,Britton Run Amish School,Crawford,Corry Area SD,0.0
212670008,Brook Side Amish School,Franklin,Fannett-Metal SD,0.0
300061370,Brookeside Montessori,Berks,Boyertown Area SD,34.6
213380978,Brookside Amish School,Lebanon,Eastern Lebanon County SD,0.0
223460009,Brookside School,Lycoming,Montgomery Area SD,0.0
213360822,Brunners Grove School,Lancaster,Cocalico SD,0.0
205611104,Brush Run Amish School,Crawford,Titusville Area SD,0.0
223460732,Bryn Athyn Church School,Montgomery,Bryn Athyn SD,0.0
213360832,Buck Hill School,Lancaster,Pequea Valley SD,0.0
216491565,Buck Hollow Amish School,Northumberland,Danville Area SD,0.0
206330013,Buck Run School,Jefferson,Punxsutawney Area SD,0.0
213360732,Buck View School,Lancaster,Solanco SD,0.0
222099102,Buckingham Friends School,Bucks,Central Bucks SD,0.0
322090080,Bucks Learning Academy,Bucks,Central Bucks SD,0.0
216601113,Buffalo Creek Parochial School,Union,Mifflinburg Area SD,0.0
213380603,Buffalo Springs Parochial Sch,Lebanon,Cornwall-Lebanon SD,0.0
206170000,Butchers Run Amish School,Clearfield,DuBois Area SD,0.0
204101004,Butler Catholic School,Butler,Butler Area SD,19.6
304100003,Butler Montessori School,Butler,Butler Area SD,0.0
300391080,Buxmont Academy,Northampton,Bethlehem Area SD,0.0
300090635,Buxmont Academy,Bucks,Neshaminy SD,50.0
300091200,Buxmont Academy,Bucks,Pennridge SD,28.6
323460019,Buxmont Academy,Montgomery,Pottsgrove SD,0.0
325230005,Buxmont Academy,Delaware,Ridley SD,0.0
213360742,Byerland School,Lancaster,Penn Manor SD,0.0
213360772,Byerstown School,Lancaster,Pequea Valley SD,0.0
321392757,CAI Learning Academy,Lehigh,Allentown City SD,90.3
213360842,Calamus Run School,Lancaster,Conestoga Valley SD,0.0
204101324,Calvary Academy,Butler,Butler Area SD,0.0
228321505,Calvary Baptist Academy,Indiana,Purchase Line SD,0.0
223460752,Calvary Baptist School,Montgomery,North Penn SD,0.0
215213714,Calvary Chapel Christian Academy,Cumberland,West Shore SD,0.0
201633600,Calvary Chapel Christian School,Washington,Brownsville Area SD,0.0
211311903,Calvary Christian Academy,Huntingdon,Huntingdon Area SD,9.7
226510732,Calvary Christian Academy,Philadelphia,Philadelphia City SD,0.0
213360792,Calvary Christian Academy,Lancaster,Solanco SD,0.0
207651165,Calvary Christian Sch-Kdg,Westmoreland,Norwin SD,0.0
300090645,Calvary Christian School,Bucks,Pennsbury SD,0.0
207651185,Calvary Early Learning Center,Westmoreland,Franklin Regional SD,16.7
208115905,Cambria County Christian School,Cambria,Central Cambria SD,76.7
213360782,Camebridge Parochial School,Lancaster,Pequea Valley SD,0.0
324150066,Camphill School,Chester,Owen J Roberts SD,19.4
300150600,Camphill School,Chester,West Chester Area SD,15.5
202021105,Campus Lab School of Carlow University,Allegheny,Pittsburgh SD,11.8
219641101,Canaan Christian Academy,Wayne,Western Wayne SD,0.0
217080001,Canton Country School,Bradford,Canton Area SD,0.0
225237602,Cardinal John Foley Regional Catholic,Delaware,Haverford Township SD,0.0
225231602,Cardinal Ohara High School,Delaware,Marple Newtown SD,0.0
213360011,Cardinal Wing School,Lancaster,Solanco SD,0.0
300425080,CARE for Children Rainbow Corner Preschool,McKean,Bradford Area SD,0.0
215210902,Carlisle Christian Academy,Cumberland,South Middleton SD,0.0
300211050,Carlisle Community Nursery School,Cumberland,Carlisle Area SD,0.0
300461400,Carmel Weekday Nursery School,Montgomery,Abington SD,0.0
203020012,Carnegie Mellon University Childrens School,Allegheny,Pittsburgh SD,54.6
300021560,Carriage House Childrens Ctr,Allegheny,Pittsburgh SD,4.8
300461460,Carson Valley Childrens Aid,Montgomery,Springfield Township SD,100.0
300461450,Carson Valley Childrens Aid-Schoolhouse,Montgomery,Springfield Township SD,0.0
213360058,Cattail Parochial School,Lancaster,Pequea Valley SD,0.0
326514508,CB Community Schools,Philadelphia,Philadelphia City SD,100.0
226510912,Cedar Grove Chr Acad Lower Sch,Philadelphia,Philadelphia City SD,57.8
213360003,Cedar Hill Amish School,Lancaster,Pequea Valley SD,0.0
208110955,Cedar Hollow School,Indiana,United SD,0.0
215210442,Cedar Knoll Parochial,Cumberland,Shippensburg Area SD,0.0
211340009,Cedar Springs Parochial School,Juniata,Juniata County SD,0.0
213365572,Cedar Valley Amish School,Lancaster,Solanco SD,0.0
211348906,Cedar View School,Juniata,Juniata County SD,0.0
300481400,Centennial School Lehigh Univ,Lehigh,Bethlehem Area SD,18.9
308110135,Center for Achievement,Cambria,Greater Johnstown SD,0.0
213360862,Center Grove School,Lancaster,Eastern Lancaster County SD,0.0
213360902,Center Parochial School,Lancaster,Eastern Lancaster County SD,0.0
300461610,Center School,Montgomery,Abington SD,0.0
213360952,Centerville Amish School,Lancaster,Pequea Valley SD,0.0
202021305,Central Catholic,Allegheny,Pittsburgh SD,11.6
201631605,Central Christian Academy,Washington,Chartiers-Houston SD,22.8
300231300,Central Nursery School,Delaware,Radnor Township SD,0.0
314060037,Centre Avenue Academy,Berks,Reading SD,100.0
210145503,Centre County Christian Academy,Centre,Bellefonte Area SD,29.8
323460017,Centre Square Academy,Montgomery,Wissahickon SD,0.0
300462850,Centre Square Montessori Schoolhouse,Montgomery,Wissahickon SD,0.0
300263450,Champion Christian School,Fayette,Connellsville Area SD,60.0
207260000,Champion Christian School -Donegal,Westmoreland,Mount Pleasant Area SD,56.8
216550403,Chapman Amish School,Snyder,Selinsgrove Area SD,0.0
300150650,Charlestown Playhouse,Chester,Phoenixville Area SD,11.1
205200304,Chase Road School,Crawford,Crawford Central SD,0.0
223460000,Cheder Chabad Philadelphia,Delaware,Radnor Township SD,67.4
218400003,"Cheder Menachem, Inc.",Luzerne,Wilkes-Barre Area SD,68.1
224158252,Cherri Knoll School,Chester,Oxford Area SD,0.0
213360972,Cherry Grove School,Lancaster,Ephrata Area SD,0.0
204430434,Cherry Hill School,Mercer,West Middlesex Area SD,0.0
213381503,Cherry Lane School,Lebanon,Eastern Lebanon County SD,0.0
212670004,Cherry Ridge Amish School,York,Red Lion Area SD,0.0
205200404,Cherry Ridge School,Crawford,Corry Area SD,0.0
216490002,Cherrytown School,Northumberland,Line Mountain SD,0.0
215210952,Chestnut Grove Parochial Sch,Cumberland,Shippensburg Area SD,0.0
224151632,Chestnut Hill Amish School,Chester,Octorara Area SD,0.0
213361072,Chestnut Hill School,Lancaster,Cocalico SD,0.0
213361052,Chestnut Hill School,Lancaster,Eastern Lancaster County SD,0.0
201261255,Chestnut Ridge Christian Academy,Fayette,Uniontown Area SD,13.5
209530002,Chestnut Ridge School,Potter,Northern Potter SD,0.0
213361042,Chestnut Run School,Lancaster,Cocalico SD,0.0
209421504,Chestnut Street Christian School,McKean,Bradford Area SD,8.1
203020255,Cheswick Christian Academy,Allegheny,Allegheny Valley SD,42.0
300231410,Child Guidance Elementary Ed Program,Delaware,Rose Tree Media SD,100.0
215210008,Childrens Garden of St Johns Lutheran Church,Cumberland,Mechanicsburg Area SD,16.7
300461570,Childrens School At St Johns,Montgomery,Lower Merion SD,17.7
300230800,Childrens School of Cabrini University,Chester,Tredyffrin-Easttown SD,0.0
300091150,Childtowne Montessori School,Bucks,Centennial SD,0.0
216470303,Chillisquaque Valley Parc Sch,Montour,Danville Area SD,0.0
314060029,CHOR Day Academy,Berks,Reading SD,100.0
224151662,Christ Memorial Lutheran School,Chester,Great Valley SD,0.0
203027965,Christ the Divine Tchr Cath Ac,Allegheny,Fox Chapel Area SD,39.6
207652605,Christ the Divine Teacher School,Westmoreland,Greater Latrobe SD,18.2
226511102,Christ the King School,Philadelphia,Philadelphia City SD,0.0
225231652,Christian Academy,Delaware,Penn-Delco SD,0.0
206611404,Christian Life Academy,Venango,Cranberry Area SD,20.8
208050655,Christian Light School,Bedford,Chestnut Ridge SD,0.0
215211502,Christian School of Grace Baptist Church,Cumberland,Carlisle Area SD,0.0
212672503,Christian School of York,York,Central York SD,22.0
210174142,Christian Servant Academy,Clearfield,West Branch Area SD,0.0
206160001,Christs Dominion Academy,Jefferson,Brookville Area SD,72.7
300651860,Chum Nursery School,Westmoreland,Norwin SD,0.0
207650000,Church Christian Academy,Westmoreland,Yough SD,16.7
211441083,Church Lane Amish School,Mifflin,Mifflin County SD,0.0
213361062,Churchtown Parochial School,Lancaster,Eastern Lancaster County SD,0.0
300671370,Circle School,Dauphin,Susquehanna Township SD,22.5
212281197,City Light Christian School,Franklin,Waynesboro Area SD,0.0
202025886,City of Bridges High School,Allegheny,Pittsburgh SD,0.0
226515832,City School,Philadelphia,Philadelphia City SD,46.7
226519094,City School,Philadelphia,Philadelphia City SD,49.0
226517510,City School at Fairmount,Philadelphia,Philadelphia City SD,40.0
206160788,Clarion Christian School,Clarion,Clarion-Limestone Area SD,0.0
326510169,Clarke Pennsylvania Inc,Philadelphia,Philadelphia City SD,0.0
215502103,Clarks Run Parochial School,Perry,West Perry SD,10.5
327042467,Class Academy,Beaver,Ambridge Area SD,0.0
210171534,Clearfield Alliance Christian School,Clearfield,Clearfield Area SD,100.0
213364776,Clearfield Amish School,Lancaster,Solanco SD,0.0
212280723,Clearfield Parochial School,Franklin,Shippensburg Area SD,0.0
211441103,Clearview Amish School,Mifflin,Mifflin County SD,0.0
213368902,Clearview Hollow,Lancaster,Solanco SD,0.0
213361102,Clearview Mennonite School,Lancaster,Manheim Central SD,0.0
213361082,Clearview Parochial School,Lancaster,Eastern Lancaster County SD,0.0
213361122,Clearview School,Lancaster,Pequea Valley SD,0.0
207651505,Clelian Heights Sch for Excep Children,Westmoreland,Hempfield Area SD,95.1
228325893,Clover Valley Amish School,Indiana,Marion Center Area SD,0.0
224150027,Coaffroath School,Chester,Coatesville Area SD,0.0
206611454,Coal Valley Amish School,Venango,Franklin Area SD,0.0
211340002,Cocolamus Christian Mennonite School,Juniata,Juniata County SD,0.0
211440009,Coffee Run Private Parochial School,Mifflin,Mifflin County SD,0.0
213362083,Collins School,Lancaster,Solanco SD,0.0
213361222,Colonial Amish School,Lancaster,Eastern Lancaster County SD,0.0
216190700,Columbia County Christian School,Columbia,Bloomsburg Area SD,7.7
326512995,Community Council Learning Academy,Philadelphia,Philadelphia City SD,100.0
300250800,Community Country Day School,Erie,Millcreek Township SD,100.0
202021405,Community Day School,Allegheny,Pittsburgh SD,5.4
326510079,Community Partnership School,Philadelphia,Philadelphia City SD,100.0
213361112,Compass School,Lancaster,Pequea Valley SD,0.0
300091245,Comprehensive Learning Center,Bucks,Council Rock SD,0.0
300151120,Concept School,Chester,West Chester Area SD,0.0
213361162,Conestoga Christian School,Lancaster,Eastern Lancaster County SD,4.9
213361172,Conestoga School,Lancaster,Eastern Lancaster County SD,0.0
201261505,Connellsville Area Catholic School,Fayette,Connellsville Area SD,34.2
222091252,Conwell Egan Catholic HS,Bucks,Bristol Township SD,0.0
300512880,Cooperative Nursery School,Philadelphia,Philadelphia City SD,0.0
224361192,Cooperville Amish School,Lancaster,Solanco SD,0.0
300151300,Copeland Run Academy,Chester,Downingtown Area SD,0.0
314060003,Cornell Abraxas,Berks,Twin Valley SD,100.0
300272000,Cornell Abraxas I Arlene Lissner,Forest,Forest Area SD,0.0
300280100,Cornell Abraxas Leadership Development Program,Franklin,Waynesboro Area SD,98.0
312280000,Cornell Abraxas Youth Center,Franklin,Waynesboro Area SD,96.8
300512620,Cornerstone Christian Academy,Philadelphia,Philadelphia City SD,100.0
300029770,Cornerstone Christian Prep-Wilson Campus,Allegheny,West Mifflin Area SD,88.3
201639500,Cornerstone Mennonite School,Washington,Burgettstown Area SD,13.9
213360081,Cornerstone School,Lancaster,Solanco SD,0.0
212281003,Corpus Christi School,Franklin,Chambersburg Area SD,14.2
223460802,Corpus Christi School,Montgomery,North Penn SD,0.0
205250003,Corry Alliance Academy,Erie,Corry Area SD,27.3
204371004,Cotton School,Lawrence,Wilmington Area SD,0.0
206160004,Country Corners,Clarion,Keystone SD,0.0
224151572,Country Hillside School,Chester,Oxford Area SD,0.0
213360087,Country Knob School,Lancaster,Octorara Area SD,0.0
216609516,Country Lane Parochial School,Union,Mifflinburg Area SD,0.0
210180002,Country Lane School,Clinton,Keystone Central SD,0.0
213369536,Country Meadow School,Lancaster,Conestoga Valley SD,0.0
210180007,Country View School,Clinton,Keystone Central SD,0.0
215210015,Country View School,Cumberland,Shippensburg Area SD,0.0
213361225,Country View School,Lancaster,Solanco SD,0.0
217410005,Countryside Amish School,Lycoming,Jersey Shore Area SD,0.0
213361232,Countryside Amish School,Lancaster,Pequea Valley SD,0.0
216600103,County Line Amish School,Union,Lewisburg Area SD,0.0
216470403,County Line Parochial School,Montour,Danville Area SD,0.0
208075430,County Line Parochial School,Blair,Spring Cove SD,0.0
204430004,County Line School,Mercer,Commodore Perry SD,0.0
213381703,County Line School,Lebanon,Eastern Lebanon County SD,0.0
211441183,County Line School,Huntingdon,Huntingdon Area SD,0.0
208071255,Cove Lane Parochial School,Blair,Spring Cove SD,0.0
215221753,Covenant Christian Academy,Dauphin,Susquehanna Township SD,0.0
220480852,Covenant Christian Academy of the Lehigh Valley,Lehigh,Bethlehem Area SD,0.0
223460942,Coventry Christian Schools Inc,Montgomery,Pottsgrove SD,17.3
215210653,Covered Bridge Amish School,Cumberland,Shippensburg Area SD,0.0
210180005,Coyote Ridge Amish School,Clinton,Keystone Central SD,0.0
205250009,COZY CORNERS AMISH SCHOOL,Warren,Warren County SD,0.0
300021860,Crafton Childrens Corner,Allegheny,Keystone Oaks SD,0.0
300021850,Crafton Childrens Corner,Allegheny,Montour SD,0.0
303026753,Crafton Childrens Corner,Allegheny,Pittsburgh SD,0.0
205201504,Crawford Christian Academy,Crawford,Crawford Central SD,25.9
304376697,Cray Education Center,Lawrence,New Castle Area SD,100.0
224151852,Cream School,Chester,Oxford Area SD,0.0
300461670,Creative Beginnings,Montgomery,Abington SD,0.0
204430007,Creative Learning Christian School,Mercer,Mercer Area SD,54.0
216470001,Creek Side School,Montour,Warrior Run SD,0.0
215500058,Creekwood Amish School,Perry,West Perry SD,0.0
226514122,Crefeld School,Philadelphia,Philadelphia City SD,1.1
228320005,Cresswell Mennonite School,Indiana,United SD,0.0
226510080,Cristo Rey Philadelphia High School,Philadelphia,Philadelphia City SD,100.0
226511235,Crooked Places Made Straight,Philadelphia,Philadelphia City SD,100.0
206164246,Cropps Corners Amish School,Clarion,Keystone SD,0.0
208561255,Cross Road School,Somerset,Salisbury-Elk Lick SD,0.0
208561265,Cross Road Special School,Somerset,Salisbury-Elk Lick SD,0.0
215221127,CrossPoint Early Learning Center,Dauphin,Central Dauphin SD,37.5
304430003,Crossroads Boys School,Mercer,Farrell Area SD,88.0
304430004,Crossroads Girls School,Mercer,Farrell Area SD,100.0
213361132,Crossroads Mennonite School,Lancaster,Eastern Lancaster County SD,0.0
213360962,Crystal Springs School,Lancaster,Solanco SD,0.0
212281603,Cumberland Valley Christian School,Franklin,Chambersburg Area SD,0.0
205206788,Cussewago Mennonite School,Crawford,Penncrest SD,0.0
300404030,Dallas Little People Day Care,Luzerne,Dallas SD,0.0
300471041,Danville Child Development Center,Montour,Danville Area SD,0.0
316470000,Danville Child Development Center,Montour,Danville Area SD,0.0
300231780,Davidson School,Delaware,Rose Tree Media SD,99.2
300024910,Day School,Allegheny,Pittsburgh SD,28.0
228030000,Daybrook Amish School,Armstrong,Armstrong SD,0.0
213361242,Dayspring Christian Academy,Lancaster,Hempfield SD,16.2
223460438,Deep Creek Learning Center,Montgomery,Perkiomen Valley SD,4.5
213361252,Deer Hollow Amish School,Lancaster,Solanco SD,0.0
210181003,Deer Hollow Parochial School,Clinton,Keystone Central SD,0.0
206337835,Deer Run Amish School,Jefferson,Brookville Area SD,0.0
204430001,Deer Run Amish School,Mercer,Mercer Area SD,0.0
225231672,Delaware County Christian School,Delaware,Marple Newtown SD,5.7
224150022,Delaware County Christian School - Elem,Chester,Tredyffrin-Easttown SD,9.0
211340006,Delaware Creek School,Juniata,Juniata County SD,0.0
