Percent Of Enrollments from Low-Income Families,,,,,,,,,
,,,,,,,,,
School Level,,,,,,,,,
Year: 2021-2022,,,,,,,,,
SUBMITTING AUN,LEA NAME,LEA TYPE,SCHOOL NUMBER,SCHOOL NAME,TOTAL ENROLLMENT,LOW INCOME ENROLLMENT,PERCENT OF ENROLLMENT FROM LOW INCOME FAMILIES,,
121390302,Allentown City SD,SD,2779,Mosser El Sch,458,384,83.8%,,
121390302,Allentown City SD,SD,2780,Muhlenberg El Sch,489,354,72.4%,,
121390302,Allentown City SD,SD,2781,Ritter El Sch,419,296,70.6%,,
121390302,Allentown City SD,SD,2782,Roosevelt El Sch,549,428,78.0%,,
121390302,Allentown City SD,SD,6448,Sheridan El Sch,559,496,88.7%,,
121390302,Allentown City SD,SD,2793,South Mountain MS,1136,804,70.8%,,
121390302,Allentown City SD,SD,4929,Trexler MS,825,644,78.1%,,
121390302,Allentown City SD,SD,2785,Union Terrace El Sch,647,493,76.2%,,
121390302,Allentown City SD,SD,2786,Washington El Sch,333,281,84.4%,,
121390302,Allentown City SD,SD,2794,William Allen HS,2804,2072,73.9%,,
126512990,Alliance for Progress CS,CS,7543,Alliance for Progress CS,564,486,86.2%,,
108070502,Altoona Area SD,SD,0913,Altoona Area HS,2224,1250,56.2%,,
108070502,Altoona Area SD,SD,7986,Altoona Area Jr HS,1730,1137,65.7%,,
108070502,Altoona Area SD,SD,0891,Baker El Sch,291,135,46.4%,,
108070502,Altoona Area SD,SD,0908,Irving El Sch,295,111,37.6%,,
108070502,Altoona Area SD,SD,0895,Juniata El Sch,453,353,77.9%,,
108070502,Altoona Area SD,SD,0930,Juniata Gap El Sch,575,328,57.0%,,
108070502,Altoona Area SD,SD,0933,Logan El Sch,444,264,59.5%,,
108070502,Altoona Area SD,SD,7199,Mowrie A Ebner El Sch,421,273,64.8%,,
108070502,Altoona Area SD,SD,8280,Penn-Lincoln El Sch,341,276,80.9%,,
108070502,Altoona Area SD,SD,0902,Pleasant Valley El Sch,486,318,65.4%,,
127040703,Ambridge Area SD,SD,6555,Ambridge Area HS,706,368,52.1%,,
127040703,Ambridge Area SD,SD,0633,Ambridge Area MS,509,267,52.5%,,
127040703,Ambridge Area SD,SD,0629,Economy El Sch,443,130,29.3%,,
127040703,Ambridge Area SD,SD,0661,Highland El Sch,320,234,73.1%,,
127040703,Ambridge Area SD,SD,0632,State Street El Sch,289,186,64.4%,,
113380303,Annville-Cleona SD,SD,2725,Annville Cleona HS,464,149,32.1%,,
113380303,Annville-Cleona SD,SD,2724,Annville El Sch,409,143,35.0%,,
113380303,Annville-Cleona SD,SD,8178,Annville-Cleona MS,225,75,33.3%,,
113380303,Annville-Cleona SD,SD,2723,Cleona El Sch,320,113,35.3%,,
114060503,Antietam SD,SD,0820,Antietam MS/HS,547,297,54.3%,,
114060503,Antietam SD,SD,5205,Mt Penn El Sch,320,188,58.8%,,
114060503,Antietam SD,SD,8482,Mt Penn Primary Ctr,265,167,63.0%,,
104510394,Antonia Pantoja Community CS,CS,8031,Antonia Pantoja Community CS,682,515,75.5%,,
128030603,Apollo-Ridge SD,SD,7787,Apollo-Ridge Elem Sch,516,328,63.6%,,
128030603,Apollo-Ridge SD,SD,2320,Apollo-Ridge HS,314,159,50.6%,,
128030603,Apollo-Ridge SD,SD,6570,Apollo-Ridge MS,284,192,67.6%,,
108000000,Appalachia IU 8,IU,0000,Appalachia IU 8,193,51,26.4%,,
128000000,ARIN IU 28,IU,0000,ARIN IU 28,37,23,62.2%,,
128030852,Armstrong SD,SD,8342,Armstrong JSHS,1602,733,45.8%,,
128030852,Armstrong SD,SD,0569,Dayton El Sch,204,99,48.5%,,
128030852,Armstrong SD,SD,6574,Elderton El Sch,220,69,31.4%,,
128030852,Armstrong SD,SD,5002,Lenape El Sch,750,436,58.1%,,
128030852,Armstrong SD,SD,6577,Shannock Valley El Sch,340,169,49.7%,,
128030852,Armstrong SD,SD,7896,West Hills Intermediate Sch,498,276,55.4%,,
128030852,Armstrong SD,SD,7895,West Hills Primary Sch,560,304,54.3%,,
128030852,Armstrong SD,SD,7640,West Shamokin JSHS,582,245,42.1%,,
121395927,Arts Academy CS,CS,8214,Arts Academy CS,341,178,52.2%,,
121399898,Arts Academy Elementary CS,CS,8336,Arts Academy Elementary CS,410,335,81.7%,,
181519176,ASPIRA Bilingual Cyber CS,CS,8148,ASPIRA Bilingual Cyber CS,529,331,62.6%,,
117080503,Athens Area SD,SD,0958,Athens Area HS,668,280,41.9%,,
117080503,Athens Area SD,SD,4918,Audrielle Lynch-Ellen Bustin El Sch,531,197,37.1%,,
117080503,Athens Area SD,SD,8220,Harlan Rowe MS,459,203,44.2%,,
117080503,Athens Area SD,SD,8219,SRU El Sch,392,133,33.9%,,
109530304,Austin Area SD,SD,6221,Austin Area El Sch,91,47,51.6%,,
109530304,Austin Area SD,SD,6222,Austin Area JSHS,85,42,49.4%,,
101630504,Avella Area SD,SD,4165,Avella Area JSHS,229,84,36.7%,,
101630504,Avella Area SD,SD,7098,Avella El Center,255,104,40.8%,,
124150003,Avon Grove CS,CS,7721,Avon Grove CS,1904,610,32.0%,,
124150503,Avon Grove SD,SD,1367,Avon Grove HS,1735,513,29.6%,,
124150503,Avon Grove SD,SD,1365,Avon Grove Intrmd Sch,1428,426,29.8%,,
124150503,Avon Grove SD,SD,5216,Fred S Engle MS,818,219,26.8%,,
124150503,Avon Grove SD,SD,7323,Penn London El Sch,1038,287,27.6%,,
103020753,Avonworth SD,SD,0034,Avonworth El Sch,602,82,13.6%,,
103020753,Avonworth SD,SD,5199,Avonworth HS,534,78,14.6%,,
103020753,Avonworth SD,SD,7669,Avonworth MS,287,46,16.0%,,
103020753,Avonworth SD,SD,8320,Avonworth Primary Center,469,66,14.1%,,
127046517,Baden Academy CS,CS,8211,Baden Academy CS,563,312,55.4%,,
110141003,Bald Eagle Area SD,SD,1335,Bald Eagle Area JSHS,846,314,37.1%,,
110141003,Bald Eagle Area SD,SD,1333,Howard El Sch,92,37,40.2%,,
110141003,Bald Eagle Area SD,SD,1334,Mountaintop Area El Sch,109,37,33.9%,,
110141003,Bald Eagle Area SD,SD,1331,Port Matilda El Sch,95,34,35.8%,,
110141003,Bald Eagle Area SD,SD,1330,Wingate El Sch,367,180,49.0%,,
103021102,Baldwin-Whitehall SD,SD,0050,Baldwin SHS,1981,754,38.1%,,
103021102,Baldwin-Whitehall SD,SD,6787,J.E. Harrison Education Ctr,1103,528,47.9%,,
103021102,Baldwin-Whitehall SD,SD,0037,McAnnulty El Sch,433,184,42.5%,,
103021102,Baldwin-Whitehall SD,SD,0048,Whitehall El Sch,826,351,42.5%,,
120480803,Bangor Area SD,SD,3434,Bangor Area HS,911,351,38.5%,,
120480803,Bangor Area SD,SD,5257,Bangor Area MS,446,187,41.9%,,
120480803,Bangor Area SD,SD,8450,DeFranco El Sch,437,177,40.5%,,
120480803,Bangor Area SD,SD,8449,Five Points El Sch,558,255,45.7%,,
120480803,Bangor Area SD,SD,3430,Washington El Sch,419,191,45.6%,,
118400001,Bear Creek Community CS,CS,7827,Bear Creek Community CS,514,251,48.8%,,
127041203,Beaver Area SD,SD,7386,Beaver Area MS,292,67,22.9%,,
127041203,Beaver Area SD,SD,0640,Beaver Area SHS,682,173,25.4%,,
127041203,Beaver Area SD,SD,8065,College Square El Sch,448,91,20.3%,,
127041203,Beaver Area SD,SD,7823,Dutch Ridge El Sch,586,116,19.8%,,
127041307,Beaver County CTC,CTC,6985,Beaver County CTC,629,283,45.0%,,
127000000,Beaver Valley IU 27,IU,0000,Beaver Valley IU 27,193,78,40.4%,,
108051003,Bedford Area SD,SD,7545,Bedford El Sch,775,379,48.9%,,
108051003,Bedford Area SD,SD,7021,Bedford MS,380,178,46.8%,,
108051003,Bedford Area SD,SD,0726,Bedford SHS,559,245,43.8%,,
108051307,Bedford County Technical Center,CTC,7096,Bedford County Technical Center,291,139,47.8%,,
107650603,Belle Vernon Area SD,SD,4930,Belle Vernon Area HS,764,235,30.8%,,
107650603,Belle Vernon Area SD,SD,8269,Belle Vernon Area MS,348,137,39.4%,,
107650603,Belle Vernon Area SD,SD,4328,Marion El Sch,635,324,51.0%,,
107650603,Belle Vernon Area SD,SD,4325,Rostraver El Sch,618,210,34.0%,,
110141103,Bellefonte Area SD,SD,1343,Bellefonte Area HS,894,224,25.1%,,
110141103,Bellefonte Area SD,SD,1342,Bellefonte Area MS,598,151,25.3%,,
110141103,Bellefonte Area SD,SD,1341,Bellefonte El Sch,334,111,33.2%,,
110141103,Bellefonte Area SD,SD,1339,Benner El Sch,211,28,13.3%,,
110141103,Bellefonte Area SD,SD,1340,Marion-Walker El Sch,389,48,12.3%,,
110141103,Bellefonte Area SD,SD,6229,Pleasant Gap El Sch,220,55,25.0%,,
108071003,Bellwood-Antis SD,SD,7144,Bellwood Antis MS,398,157,39.4%,,
108071003,Bellwood-Antis SD,SD,0917,Bellwood-Antis HS,395,147,37.2%,,
108071003,Bellwood-Antis SD,SD,0914,Lewis M Myers El Sch,404,142,35.1%,,
126510010,Belmont CS,CS,7750,Belmont CS,778,664,85.3%,,
122091002,Bensalem Township SD,SD,5211,Belmont Hills El Sch,551,279,50.6%,,
122091002,Bensalem Township SD,SD,4675,Benjamin Rush El Sch,412,303,73.5%,,
122091002,Bensalem Township SD,SD,5116,Bensalem Twp HS,2015,978,48.5%,,
122091002,Bensalem Township SD,SD,6451,Cecelia Snyder MS,469,243,51.8%,,
122091002,Bensalem Township SD,SD,1006,Cornwells El Sch,496,284,57.3%,,
122091002,Bensalem Township SD,SD,7030,Robert K Shafer MS,602,337,56.0%,,
122091002,Bensalem Township SD,SD,6896,Russell C Struble El Sch,476,188,39.5%,,
122091002,Bensalem Township SD,SD,1008,Samuel K Faust El Sch,559,403,72.1%,,
122091002,Bensalem Township SD,SD,6788,Valley El Sch,655,306,46.7%,,
116191004,Benton Area SD,SD,1594,Appleman El Sch,336,111,33.0%,,
116191004,Benton Area SD,SD,8434,Benton Area HS,186,52,28.0%,,
116191004,Benton Area SD,SD,8433,Benton Area MS,113,47,41.6%,,
101630903,Bentworth SD,SD,7987,Bentworth El Ctr,378,210,55.6%,,
101630903,Bentworth SD,SD,7988,Bentworth MS,347,169,48.7%,,
101630903,Bentworth SD,SD,4188,Bentworth SHS,344,156,45.3%,,
114000000,Berks County IU 14,IU,0000,Berks County IU 14,119,31,26.1%,,
114060557,Berks CTC,CTC,6304,Berks CTC-East Campus,928,71,7.7%,,
114060557,Berks CTC,CTC,7068,Berks CTC-West Campus,775,74,9.5%,,
108561003,Berlin Brothersvalley SD,SD,6206,Berlin Brothersvalley El Sch,289,106,36.7%,,
108561003,Berlin Brothersvalley SD,SD,7645,Berlin Brothersvalley MS,223,94,42.2%,,
108561003,Berlin Brothersvalley SD,SD,6207,Berlin Brothersvalley SHS,207,79,38.2%,,
112011103,Bermudian Springs SD,SD,7302,Bermudian Springs El Sch,574,238,41.5%,,
112011103,Bermudian Springs SD,SD,0003,Bermudian Springs HS,619,210,33.9%,,
112011103,Bermudian Springs SD,SD,6921,Bermudian Springs MS,568,221,38.9%,,
116191103,Berwick Area SD,SD,1605,Berwick Area HS,717,354,49.4%,,
116191103,Berwick Area SD,SD,6808,Berwick Area MS,853,452,53.0%,,
116191103,Berwick Area SD,SD,6349,Nescopeck El Sch,161,65,40.4%,,
116191103,Berwick Area SD,SD,1597,Salem El Sch,372,161,43.3%,,
116191103,Berwick Area SD,SD,8378,West Berwick El Sch,496,275,55.4%,,
103021252,Bethel Park SD,SD,4802,Abraham Lincoln El Sch,317,53,16.7%,,
103021252,Bethel Park SD,SD,7326,Benjamin Franklin El Sch,325,56,17.2%,,
103021252,Bethel Park SD,SD,0055,Bethel Memorial El Sch,325,43,13.2%,,
103021252,Bethel Park SD,SD,0062,Bethel Park HS,1315,217,16.5%,,
103021252,Bethel Park SD,SD,4902,George Washington El Sch,261,18,6.9%,,
103021252,Bethel Park SD,SD,0061,Independence MS,609,99,16.3%,,
103021252,Bethel Park SD,SD,7327,Neil Armstrong 5-6 MS,549,84,15.3%,,
103021252,Bethel Park SD,SD,0060,William Penn El Sch,187,20,10.7%,,
120481002,Bethlehem Area SD,SD,5063,Asa Packer El Sch,336,92,27.4%,,
120481002,Bethlehem Area SD,SD,3464,Broughal MS,489,394,80.6%,,
120481002,Bethlehem Area SD,SD,3436,Calypso El Sch,222,125,56.3%,,
120481002,Bethlehem Area SD,SD,3453,Clearview El Sch,378,207,54.8%,,
120481002,Bethlehem Area SD,SD,6722,Donegan El Sch,470,428,91.1%,,
120481002,Bethlehem Area SD,SD,4956,East Hills MS,972,391,40.2%,,
120481002,Bethlehem Area SD,SD,3456,Farmersville El Sch,390,107,27.4%,,
120481002,Bethlehem Area SD,SD,6723,Fountain Hill El Sch,512,424,82.8%,,
120481002,Bethlehem Area SD,SD,4957,Freedom HS,1868,900,48.2%,,
120481002,Bethlehem Area SD,SD,3458,Freemansburg El Sch,310,241,77.7%,,
120481002,Bethlehem Area SD,SD,3449,Governor Wolf El Sch,477,246,51.6%,,
120481002,Bethlehem Area SD,SD,3459,Hanover El Sch,227,27,11.9%,,
120481002,Bethlehem Area SD,SD,3442,James Buchanan El Sch,254,138,54.3%,,
120481002,Bethlehem Area SD,SD,3465,Liberty HS,2702,1453,53.8%,,
120481002,Bethlehem Area SD,SD,3443,Lincoln El Sch,312,217,69.6%,,
120481002,Bethlehem Area SD,SD,3454,Marvine El Sch,325,276,84.9%,,
120481002,Bethlehem Area SD,SD,3455,Miller Heights El Sch,338,111,32.8%,,
120481002,Bethlehem Area SD,SD,3463,Nitschmann MS,741,331,44.7%,,
120481002,Bethlehem Area SD,SD,3462,Northeast MS,749,496,66.2%,,
120481002,Bethlehem Area SD,SD,3452,Spring Garden El Sch,490,205,41.8%,,
120481002,Bethlehem Area SD,SD,6633,Thomas Jefferson El Sch,232,174,75.0%,,
120481002,Bethlehem Area SD,SD,6634,William Penn El Sch,228,148,64.9%,,
120481107,Bethlehem AVTS,CTC,5286,Bethlehem AVTS,1146,492,42.9%,,
101631003,Bethlehem-Center SD,SD,6975,Bethlehem-Center El Sch,431,264,61.3%,,
101631003,Bethlehem-Center SD,SD,5267,Bethlehem-Center MS,240,129,53.8%,,
101631003,Bethlehem-Center SD,SD,4181,Bethlehem-Center SHS,323,155,48.0%,,
127041503,Big Beaver Falls Area SD,SD,0649,Beaver Falls Area SHS,473,353,74.6%,,
127041503,Big Beaver Falls Area SD,SD,0648,Beaver Falls MS,388,313,80.7%,,
127041503,Big Beaver Falls Area SD,SD,0650,Big Beaver El Sch,319,202,63.3%,,
127041503,Big Beaver Falls Area SD,SD,0642,Central El Sch,484,401,82.9%,,
115210503,Big Spring SD,SD,1677,Big Spring HS,791,293,37.0%,,
115210503,Big Spring SD,SD,6326,Big Spring MS,585,234,40.0%,,
115210503,Big Spring SD,SD,7951,Mount Rock Elem Sch,344,127,36.9%,,
115210503,Big Spring SD,SD,1676,Newville El Sch,363,177,48.8%,,
115210503,Big Spring SD,SD,7355,Oak Flat El Sch,383,151,39.4%,,
127041603,Blackhawk SD,SD,6707,Blackhawk HS,759,196,25.8%,,
127041603,Blackhawk SD,SD,8476,Blackhawk Intermediate Sch,692,213,30.8%,,
127041603,Blackhawk SD,SD,6558,Highland MS,716,216,30.2%,,
127041603,Blackhawk SD,SD,6560,Patterson Primary Sch,144,45,31.3%,,
108110603,Blacklick Valley SD,SD,6828,Blacklick Valley El Ctr,306,171,55.9%,,
108110603,Blacklick Valley SD,SD,5135,Blacklick Valley JSHS,306,135,44.1%,,
128321103,Blairsville-Saltsburg SD,SD,7418,Blairsville El Sch,421,236,56.1%,,
128321103,Blairsville-Saltsburg SD,SD,8487,River Valley HS,415,191,46.0%,,
128321103,Blairsville-Saltsburg SD,SD,8490,River Valley MS,307,138,45.0%,,
128321103,Blairsville-Saltsburg SD,SD,2352,Saltsburg El Sch,246,110,44.7%,,
117000000,BLaST IU 17,IU,0000,BLaST IU 17,310,181,58.4%,,
116191203,Bloomsburg Area SD,SD,1610,Beaver-Main El Sch,104,38,36.5%,,
116191203,Bloomsburg Area SD,SD,1612,Bloomsburg Area HS,435,167,38.4%,,
116191203,Bloomsburg Area SD,SD,1611,Bloomsburg Area MS,348,144,41.4%,,
116191203,Bloomsburg Area SD,SD,1606,Memorial El Sch,433,237,54.7%,,
116191203,Bloomsburg Area SD,SD,1608,W W Evans Memorial El Sch,210,53,25.2%,,
129540803,Blue Mountain SD,SD,7419,Blue Mountain El Cressona Sch,229,83,36.2%,,
129540803,Blue Mountain SD,SD,4659,Blue Mountain El East Sch,632,163,25.8%,,
129540803,Blue Mountain SD,SD,3891,Blue Mountain HS,795,224,28.2%,,
129540803,Blue Mountain SD,SD,5263,Blue Mountain MS,594,183,30.8%,,
129540803,Blue Mountain SD,SD,3887,Blue Mountain West/St. Ambrose Sch,201,49,24.4%,,
119581003,Blue Ridge SD,SD,6891,Blue Ridge El Sch,474,0,0.0%,,
119581003,Blue Ridge SD,SD,4034,Blue Ridge HS,282,87,30.9%,,
119581003,Blue Ridge SD,SD,7400,Blue Ridge MS,233,65,27.9%,,
114060753,Boyertown Area SD,SD,6804,Boyertown Area MS-East,928,241,26.0%,,
114060753,Boyertown Area SD,SD,6305,Boyertown Area MS-West,717,269,37.5%,,
114060753,Boyertown Area SD,SD,6306,Boyertown Area SHS,2174,644,29.6%,,
114060753,Boyertown Area SD,SD,6307,Boyertown El Sch,611,208,34.0%,,
114060753,Boyertown Area SD,SD,0762,Colebrookdale El Sch,280,136,48.6%,,
114060753,Boyertown Area SD,SD,0763,Earl El Sch,311,111,35.7%,,
114060753,Boyertown Area SD,SD,0754,Gilbertsville El Sch,551,145,26.3%,,
114060753,Boyertown Area SD,SD,0755,New Hanover-Upper Frederick El,612,104,17.0%,,
114060753,Boyertown Area SD,SD,0766,Washington El Sch,474,188,39.7%,,
185515523,Boys Latin of Philadelphia CS,CS,7981,Boys Latin of Philadelphia CS,782,564,72.1%,,
109420803,Bradford Area SD,SD,4691,Bradford Area HS,739,440,59.5%,,
109420803,Bradford Area SD,SD,3092,Floyd C Fretz MS,591,400,67.7%,,
109420803,Bradford Area SD,SD,7037,George Blaisdell El Sch,612,421,68.8%,,
109420803,Bradford Area SD,SD,7281,School Street El Sch,519,358,69.0%,,
114060853,Brandywine Heights Area SD,SD,0768,Brandywine Heights El Sch,335,103,30.7%,,
114060853,Brandywine Heights Area SD,SD,6308,Brandywine Heights HS,469,126,26.9%,,
114060853,Brandywine Heights Area SD,SD,8383,Brandywine Heights Intrmd/MS,481,131,27.2%,,
103021453,Brentwood Borough SD,SD,7342,Brentwood MS,244,132,54.1%,,
103021453,Brentwood Borough SD,SD,0070,Brentwood SHS,368,178,48.4%,,
103021453,Brentwood Borough SD,SD,0069,Elroy Avenue El Sch,310,190,61.3%,,
103021453,Brentwood Borough SD,SD,0068,Moore Sch,201,105,52.2%,,
122091303,Bristol Borough SD,SD,1014,Bristol HS,341,226,66.3%,,
122091303,Bristol Borough SD,SD,7743,Bristol MS,209,144,68.9%,,
122091303,Bristol Borough SD,SD,1013,Warren Snyder-John Girotti El Sch,649,459,70.7%,,
122091352,Bristol Township SD,SD,8368,Brookwood El Sch,914,504,55.1%,,
122091352,Bristol Township SD,SD,8369,Keystone El Sch,899,556,61.8%,,
122091352,Bristol Township SD,SD,8367,Mill Creek El Sch,1015,581,57.2%,,
122091352,Bristol Township SD,SD,8407,Neil A Armstrong MS,757,433,57.2%,,
122091352,Bristol Township SD,SD,1027,Roosevelt MS,720,467,64.9%,,
122091352,Bristol Township SD,SD,1029,Truman SHS,1666,963,57.8%,,
106330703,Brockway Area SD,SD,5148,Brockway Area Elementary Sch,464,200,43.1%,,
106330703,Brockway Area SD,SD,2362,Brockway Area JSHS,432,194,44.9%,,
106330803,Brookville Area SD,SD,6162,Brookville JSHS,621,243,39.1%,,
106330803,Brookville Area SD,SD,5231,Hickory Grove El Sch,451,215,47.7%,,
106330803,Brookville Area SD,SD,6163,Northside El Sch,102,46,45.1%,,
106330803,Brookville Area SD,SD,2368,Pinecreek El Sch,208,117,56.3%,,
101260803,Brownsville Area SD,SD,8384,Brownsville Area El Sch,721,465,64.5%,,
101260803,Brownsville Area SD,SD,4818,Brownsville Area HS,444,269,60.6%,,
101260803,Brownsville Area SD,SD,2154,Brownsville Area MS,364,227,62.4%,,
122000000,Bucks County IU 22,IU,0000,Bucks County IU 22,586,0,0.0%,,
122093460,Bucks County Montessori CS,CS,7670,Bucks County Montessori CS,184,0,0.0%,,
122091457,Bucks County Technical High School,CTC,1030,Bucks County Technical High School,1461,560,38.3%,,
101631203,Burgettstown Area SD,SD,7477,Burgettstown El Ctr,451,230,51.0%,,
101631203,Burgettstown Area SD,SD,4195,Burgettstown MS/HS,528,212,40.2%,,
107650703,Burrell SD,SD,4333,Bon Air El Sch,505,194,38.4%,,
107650703,Burrell SD,SD,4340,Burrell HS,574,205,35.7%,,
107650703,Burrell SD,SD,4339,Charles A Huston MS,415,160,38.6%,,
107650703,Burrell SD,SD,4336,Stewart El Sch,264,101,38.3%,,
104101252,Butler Area SD,SD,8494,Broad Street El Sch,152,136,89.5%,,
104101252,Butler Area SD,SD,6690,Butler Area IHS,1520,668,43.9%,,
104101252,Butler Area SD,SD,8344,Butler Area SHS,1481,539,36.4%,,
104101252,Butler Area SD,SD,8343,Butler MS,824,398,48.3%,,
104101252,Butler Area SD,SD,1148,Center Twp Sch,528,216,40.9%,,
104101252,Butler Area SD,SD,1150,Connoquenessing El Sch,241,61,25.3%,,
104101252,Butler Area SD,SD,1134,Emily Brittain El Sch,206,148,71.8%,,
104101252,Butler Area SD,SD,1138,Mcquistion El Sch,430,252,58.6%,,
104101252,Butler Area SD,SD,1142,Northwest El Sch,323,143,44.3%,,
104101252,Butler Area SD,SD,1184,Summit El Sch,235,117,49.8%,,
104101307,Butler County AVTS,CTC,6999,Butler County AVTS,987,388,39.3%,,
101631503,California Area SD,SD,7221,California Area El Sch,462,182,39.4%,,
101631503,California Area SD,SD,6939,California Area MS,151,66,43.7%,,
101631503,California Area SD,SD,4203,California Area SHS,277,116,41.9%,,
108111203,Cambria Heights SD,SD,7347,Cambria Heights El Sch,545,266,48.8%,,
108111203,Cambria Heights SD,SD,1199,Cambria Heights MS,313,134,42.8%,,
108111203,Cambria Heights SD,SD,5212,Cambria Heights SHS,425,164,38.6%,,
109122703,Cameron County SD,SD,1299,Cameron County JSHS,222,111,50.0%,,
109122703,Cameron County SD,SD,1298,Woodland El Sch,309,104,33.7%,,
115211003,Camp Hill SD,SD,7509,Camp Hill MS,285,45,15.8%,,
115211003,Camp Hill SD,SD,1682,Camp Hill SHS,422,63,14.9%,,
115211003,Camp Hill SD,SD,1678,Eisenhower El Sch,269,42,15.6%,,
115211003,Camp Hill SD,SD,1680,Hoover El Sch,245,30,12.2%,,
101631703,Canon-McMillan SD,SD,4211,Borland Manor El Sch,266,53,19.9%,,
101631703,Canon-McMillan SD,SD,4217,Canon-McMillan SHS,1624,419,25.8%,,
101631703,Canon-McMillan SD,SD,7217,Canonsburg MS,881,216,24.5%,,
101631703,Canon-McMillan SD,SD,7216,Cecil Intrmd Sch,386,97,25.1%,,
101631703,Canon-McMillan SD,SD,4938,Hills-Hendersonville El Sch,256,55,21.5%,,
101631703,Canon-McMillan SD,SD,8397,Muse El Sch,748,214,28.6%,,
