county Name,AUN,LEA,School Code,School,Graduate Count,College Bound,Total College Bound %,2- or 4-Year College or University,2- Or 4-Year University %,Total Postsecondary Bound,Total Postsecondary Bound %,Non-Degree-Granting Postsecondary School,Non-Degree-Granting Postsecondary School %,Specialized Associate Degree Granting Institution,Specialized Assocate Degree Granting Institution %
,,,9999,Chartiers Valley SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103021903,Clairton City SD,8094,Clairton MS/HS,43,23,53.49%,19,44.19%,23,53.49%,0,0.00%,4,9.30%
,,,9999,Clairton City SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103022103,Cornell SD,8087,Cornell HS,38,26,68.42%,26,68.42%,27,71.05%,1,2.63%,0,0.00%
,103022253,Deer Lakes SD,0513,Deer Lakes HS,130,88,67.69%,88,67.69%,98,75.38%,10,7.69%,0,0.00%
,,,9999,Deer Lakes SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103022803,East Allegheny SD,8340,East Allegheny JSHS,108,70,64.81%,70,64.81%,70,64.81%,0,0.00%,0,0.00%
,,,9999,East Allegheny SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103023153,Elizabeth Forward SD,0144,Elizabeth Forward SHS,188,123,65.43%,119,63.30%,127,67.55%,4,2.13%,4,2.13%
,,,9999,Elizabeth Forward SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103023410,Spectrum CS,7648,Spectrum CS,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,9999,Spectrum CS,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103023912,Fox Chapel Area SD,0156,Fox Chapel Area HS,325,287,88.31%,280,86.15%,288,88.62%,1,0.31%,7,2.15%
,103024102,Gateway SD,0170,Gateway SHS,258,187,72.48%,180,69.77%,190,73.64%,3,1.16%,7,2.71%
,,,9999,Gateway SD,2,1,50.00%,1,50.00%,1,50.00%,0,0.00%,0,0.00%
,103024603,Hampton Township SD,5190,Hampton HS,253,224,88.54%,224,88.54%,224,88.54%,0,0.00%,0,0.00%
,103024753,Highlands SD,5153,Highlands SHS,164,99,60.37%,88,53.66%,100,60.98%,1,0.61%,11,6.71%
,,,9999,Highlands SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103025002,Keystone Oaks SD,5112,Keystone Oaks HS,150,120,80.00%,114,76.00%,124,82.67%,4,2.67%,6,4.00%
,,,9999,Keystone Oaks SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103026002,McKeesport Area SD,6105,McKeesport Area SHS,196,113,57.65%,107,54.59%,121,61.73%,8,4.08%,6,3.06%
,103026303,Montour SD,5017,Montour HS,220,174,79.09%,174,79.09%,178,80.91%,4,1.82%,0,0.00%
,,,9999,Montour SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103026343,Moon Area SD,4951,Moon SHS,298,243,81.54%,243,81.54%,244,81.88%,1,0.34%,0,0.00%
,,,9999,Moon Area SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103026402,Mt Lebanon SD,0254,Mt Lebanon SHS,452,412,91.15%,409,90.49%,416,92.04%,4,0.88%,3,0.66%
,,,9999,Mt Lebanon SD,3,1,33.33%,1,33.33%,1,33.33%,0,0.00%,0,0.00%
,103026852,North Allegheny SD,8305,North Allegheny HS,687,636,92.58%,636,92.58%,638,92.87%,2,0.29%,0,0.00%
,,,9999,North Allegheny SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103026873,Northgate SD,0053,Northgate MSHS,70,60,85.71%,60,85.71%,61,87.14%,1,1.43%,0,0.00%
,,,9999,Northgate SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103026902,North Hills SD,7101,North Hills SHS,334,266,79.64%,265,79.34%,275,82.34%,9,2.69%,1,0.30%
,103027352,Penn Hills SD,0309,Penn Hills SHS,300,235,78.33%,227,75.67%,244,81.33%,9,3.00%,8,2.67%
,,,9999,Penn Hills SD,9,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103027503,Plum Borough SD,0435,Plum SHS,291,221,75.95%,217,74.57%,224,76.98%,3,1.03%,4,1.37%
,,,9999,Plum Borough SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103027753,Quaker Valley SD,0448,Quaker Valley HS,173,143,82.66%,143,82.66%,143,82.66%,0,0.00%,0,0.00%
,,,9999,Quaker Valley SD,5,1,20.00%,1,20.00%,1,20.00%,0,0.00%,0,0.00%
,103028203,Riverview SD,6928,Riverview JSHS,64,47,73.44%,44,68.75%,48,75.00%,1,1.56%,3,4.69%
,,,9999,Riverview SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103028302,Shaler Area SD,0460,Shaler Area HS,311,225,72.35%,223,71.70%,243,78.14%,18,5.79%,2,0.64%
,,,9999,Shaler Area SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103028425,Westinghouse Arts Academy CS,8392,Westinghouse Arts Academy CS,33,27,81.82%,27,81.82%,29,87.88%,2,6.06%,0,0.00%
,103028653,South Allegheny SD,0440,South Allegheny MS/HS,116,83,71.55%,83,71.55%,88,75.86%,5,4.31%,0,0.00%
,,,9999,South Allegheny SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103028703,South Fayette Township SD,0470,South Fayette Twp HS,203,188,92.61%,186,91.63%,195,96.06%,7,3.45%,2,0.99%
,,,9999,South Fayette Township SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103028753,South Park SD,0467,South Park SHS,139,111,79.86%,111,79.86%,111,79.86%,0,0.00%,0,0.00%
,,,9999,South Park SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103028833,Steel Valley SD,0196,Steel Valley SHS,96,63,65.63%,58,60.42%,63,65.63%,0,0.00%,5,5.21%
,,,9999,Steel Valley SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103028853,Sto-Rox SD,0477,Sto-Rox JSHS,70,30,42.86%,25,35.71%,30,42.86%,0,0.00%,5,7.14%
,103029203,Upper Saint Clair SD,0492,Upper Saint Clair HS,344,319,92.73%,319,92.73%,325,94.48%,6,1.74%,0,0.00%
,,,9999,Upper Saint Clair SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103029403,West Allegheny SD,0509,West Allegheny SHS,265,209,78.87%,206,77.74%,217,81.89%,8,3.02%,3,1.13%
,103029553,West Jefferson Hills SD,0523,Thomas Jefferson HS,229,191,83.41%,191,83.41%,191,83.41%,0,0.00%,0,0.00%
,103029603,West Mifflin Area SD,0536,West Mifflin Area HS,252,171,67.86%,156,61.90%,172,68.25%,1,0.40%,15,5.95%
,,,9999,West Mifflin Area SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103029902,Woodland Hills SD,0107,Woodland Hills JSHS,237,156,65.82%,142,59.92%,165,69.62%,9,3.80%,14,5.91%
,115220003,Pennsylvania Distance Learning CS,7821,Pennsylvania Distance Learning CS,59,36,61.02%,35,59.32%,40,67.80%,4,6.78%,1,1.69%
,160028259,Propel CS-Braddock Hills,8129,Propel CS-Braddock Hills,39,31,79.49%,30,76.92%,34,87.18%,3,7.69%,1,2.56%
Armstrong,128030603,Apollo-Ridge SD,2320,Apollo-Ridge HS,75,48,64.00%,48,64.00%,51,68.00%,3,4.00%,0,0.00%
,,,9999,Apollo-Ridge SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,128030852,Armstrong SD,7640,West Shamokin JSHS,84,47,55.95%,44,52.38%,49,58.33%,2,2.38%,3,3.57%
,,,8342,Armstrong JSHS,207,134,64.73%,133,64.25%,136,65.70%,2,0.97%,1,0.48%
,,,9999,Armstrong SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,128033053,Freeport Area SD,0594,Freeport Area SHS,142,121,85.21%,109,76.76%,121,85.21%,0,0.00%,12,8.45%
,,,9999,Freeport Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,128034503,Leechburg Area SD,7923,Leechburg Area HS,49,30,61.22%,25,51.02%,32,65.31%,2,4.08%,5,10.20%
,,,9999,Leechburg Area SD,1,1,100.00%,0,0.00%,1,100.00%,0,0.00%,1,100.00%
,128034607,Lenape Tech,4807,Lenape Tech,137,47,34.31%,43,31.39%,53,38.69%,6,4.38%,4,2.92%
Beaver,127040002,Lincoln Park Performing Arts CS,7859,Lincoln Park Performing Arts CS,143,122,85.31%,115,80.42%,122,85.31%,0,0.00%,7,4.90%
,127040503,Aliquippa SD,8086,Aliquippa JSHS,69,27,39.13%,27,39.13%,27,39.13%,0,0.00%,0,0.00%
,127040703,Ambridge Area SD,6555,Ambridge Area HS,174,114,65.52%,112,64.37%,120,68.97%,6,3.45%,2,1.15%
,,,9999,Ambridge Area SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,127041203,Beaver Area SD,0640,Beaver Area SHS,180,144,80.00%,142,78.89%,148,82.22%,4,2.22%,2,1.11%
,,,9999,Beaver Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,127041503,Big Beaver Falls Area SD,0649,Beaver Falls Area SHS,103,65,63.11%,63,61.17%,68,66.02%,3,2.91%,2,1.94%
,,,9999,Big Beaver Falls Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,127041603,Blackhawk SD,6707,Blackhawk HS,150,120,80.00%,116,77.33%,122,81.33%,2,1.33%,4,2.67%
,,,9999,Blackhawk SD,3,0,0.00%,0,0.00%,1,33.33%,1,33.33%,0,0.00%
,127042003,Central Valley SD,8044,Central Valley HS,149,101,67.79%,97,65.10%,105,70.47%,4,2.68%,4,2.68%
,127042853,Freedom Area SD,6563,Freedom Area SHS,98,69,70.41%,63,64.29%,73,74.49%,4,4.08%,6,6.12%
,,,9999,Freedom Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,127043430,Pennsylvania Cyber CS,7650,Pennsylvania Cyber CS,"1,173",548,46.72%,465,39.64%,566,48.25%,18,1.53%,83,7.08%
,,,9999,Pennsylvania Cyber CS,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,127044103,Hopewell Area SD,0675,Hopewell SHS,154,113,73.38%,113,73.38%,118,76.62%,5,3.25%,0,0.00%
,127045653,New Brighton Area SD,0695,New Brighton Area HS,98,62,63.27%,55,56.12%,64,65.31%,2,2.04%,7,7.14%
,127045853,Riverside Beaver County SD,0700,Riverside HS,123,69,56.10%,63,51.22%,70,56.91%,1,0.81%,6,4.88%
,127046903,Rochester Area SD,8000,Rochester High School,52,32,61.54%,32,61.54%,40,76.92%,8,15.38%,0,0.00%
,,,9999,Rochester Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,127047404,South Side Area SD,0714,South Side HS,70,50,71.43%,50,71.43%,50,71.43%,0,0.00%,0,0.00%
,127049303,Western Beaver County SD,0719,Western Beaver Co JSHS,52,33,63.46%,31,59.62%,34,65.38%,1,1.92%,2,3.85%
Bedford,108051003,Bedford Area SD,0726,Bedford SHS,137,67,48.91%,65,47.45%,73,53.28%,6,4.38%,2,1.46%
,108051503,Chestnut Ridge SD,0732,Chestnut Ridge SHS,115,68,59.13%,59,51.30%,73,63.48%,5,4.35%,9,7.83%
,,,9999,Chestnut Ridge SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,108053003,Everett Area SD,7897,Everett Area HS,99,43,43.43%,43,43.43%,47,47.47%,4,4.04%,0,0.00%
,108056004,Northern Bedford County SD,8436,Northern Bedford County HS,54,31,57.41%,30,55.56%,32,59.26%,1,1.85%,1,1.85%
,108057079,HOPE for Hyndman CS,8154,HOPE for Hyndman CS,15,9,60.00%,9,60.00%,9,60.00%,0,0.00%,0,0.00%
,108058003,Tussey Mountain SD,0753,Tussey Mountain HS,65,23,35.38%,22,33.85%,28,43.08%,5,7.69%,1,1.54%
Berks,114060392,I-LEAD Charter School,8155,I-LEAD Charter School,89,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114060503,Antietam SD,0820,Antietam MS/HS,61,41,67.21%,38,62.30%,43,70.49%,2,3.28%,3,4.92%
,114060753,Boyertown Area SD,6306,Boyertown Area SHS,485,361,74.43%,359,74.02%,366,75.46%,5,1.03%,2,0.41%
,,,9999,Boyertown Area SD,23,4,17.39%,3,13.04%,4,17.39%,0,0.00%,1,4.35%
,114060853,Brandywine Heights Area SD,6308,Brandywine Heights HS,115,79,68.70%,74,64.35%,80,69.57%,1,0.87%,5,4.35%
,114061103,Conrad Weiser Area SD,0777,Conrad Weiser HS,196,139,70.92%,133,67.86%,141,71.94%,2,1.02%,6,3.06%
,,,9999,Conrad Weiser Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114061503,Daniel Boone Area SD,4810,Daniel Boone Area HS,283,212,74.91%,208,73.50%,213,75.27%,1,0.35%,4,1.41%
,,,9999,Daniel Boone Area SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114062003,Exeter Township SD,0787,Exeter Twp JHS,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,0788,Exeter Twp SHS,288,211,73.26%,209,72.57%,215,74.65%,4,1.39%,2,0.69%
,,,9999,Exeter Township SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114062503,Fleetwood Area SD,5023,Fleetwood SHS,197,145,73.60%,144,73.10%,149,75.63%,4,2.03%,1,0.51%
,,,9999,Fleetwood Area SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114063003,Governor Mifflin SD,0802,Governor Mifflin SHS,326,228,69.94%,228,69.94%,234,71.78%,6,1.84%,0,0.00%
,114063503,Hamburg Area SD,0808,Hamburg Area HS,164,118,71.95%,105,64.02%,121,73.78%,3,1.83%,13,7.93%
,,,9999,Hamburg Area SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114064003,Kutztown Area SD,0816,Kutztown Area SHS,108,77,71.30%,77,71.30%,79,73.15%,2,1.85%,0,0.00%
,114065503,Muhlenberg SD,6610,Muhlenberg HS,277,209,75.45%,204,73.65%,210,75.81%,1,0.36%,5,1.81%
,,,9999,Muhlenberg SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114066503,Oley Valley SD,6318,Oley Valley SHS,134,98,73.13%,98,73.13%,99,73.88%,1,0.75%,0,0.00%
,,,9999,Oley Valley SD,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114067002,Reading SD,8116,Reading SHS,887,425,47.91%,406,45.77%,448,50.51%,23,2.59%,19,2.14%
,,,9999,Reading SD,11,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114067503,Schuylkill Valley SD,0864,Schuylkill Valley HS,137,115,83.94%,115,83.94%,115,83.94%,0,0.00%,0,0.00%
,,,9999,Schuylkill Valley SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114068003,Tulpehocken Area SD,4670,Tulpehocken JSHS,107,62,57.94%,62,57.94%,68,63.55%,6,5.61%,0,0.00%
,,,9999,Tulpehocken Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114068103,Twin Valley SD,0873,Twin Valley HS,267,197,73.78%,178,66.67%,198,74.16%,1,0.37%,19,7.12%
,,,9999,Twin Valley SD,20,3,15.00%,2,10.00%,3,15.00%,0,0.00%,1,5.00%
,114069103,Wilson SD,6980,Wilson HS,452,288,63.72%,288,63.72%,296,65.49%,8,1.77%,0,0.00%
,,,9999,Wilson  SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114069353,Wyomissing Area SD,0887,Wyomissing Area JSHS,145,128,88.28%,127,87.59%,128,88.28%,0,0.00%,1,0.69%
,,,9999,Wyomissing Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Blair,108070001,Central PA Digital Learning Foundation C,7720,Central PA Digital Lrng Foundation CS,16,4,25.00%,4,25.00%,5,31.25%,1,6.25%,0,0.00%
,108070502,Altoona Area SD,0913,Altoona Area HS,492,284,57.72%,266,54.07%,303,61.59%,19,3.86%,18,3.66%
,,,7425,Kimmel Alternative School,4,1,25.00%,0,0.00%,1,25.00%,0,0.00%,1,25.00%
,,,9999,Altoona Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,108071003,Bellwood-Antis SD,0917,Bellwood-Antis HS,93,62,66.67%,62,66.67%,62,66.67%,0,0.00%,0,0.00%
,108071504,Claysburg-Kimmel SD,0921,Claysburg-Kimmel HS,80,35,43.75%,23,28.75%,39,48.75%,4,5.00%,12,15.00%
,108073503,Hollidaysburg Area SD,5207,Hollidaysburg Area SHS,270,175,64.81%,174,64.44%,186,68.89%,11,4.07%,1,0.37%
,,,9999,Hollidaysburg Area SD,9,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,108077503,Spring Cove SD,0941,Central HS,131,81,61.83%,74,56.49%,89,67.94%,8,6.11%,7,5.34%
,,,9999,Spring Cove SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,108078003,Tyrone Area SD,0949,Tyrone Area HS,134,73,54.48%,67,50.00%,77,57.46%,4,2.99%,6,4.48%
,108079004,Williamsburg Community SD,0951,Williamsburg Community JSHS,34,18,52.94%,17,50.00%,19,55.88%,1,2.94%,1,2.94%
Bradford,117080503,Athens Area SD,0958,Athens Area HS,140,77,55.00%,76,54.29%,81,57.86%,4,2.86%,1,0.71%
,117081003,Canton Area SD,0988,Canton JSHS,56,21,37.50%,19,33.93%,21,37.50%,0,0.00%,2,3.57%
,117083004,Northeast Bradford SD,0964,Northeast Bradford JSHS,63,30,47.62%,28,44.44%,32,50.79%,2,3.17%,2,3.17%
,117086003,Sayre Area SD,0965,Sayre Area HS,75,51,68.00%,51,68.00%,56,74.67%,5,6.67%,0,0.00%
,117086503,Towanda Area SD,5208,Towanda Area JSHS,133,70,52.63%,68,51.13%,80,60.15%,10,7.52%,2,1.50%
,117086653,Troy Area SD,1000,Troy Area JSHS,97,52,53.61%,52,53.61%,54,55.67%,2,2.06%,0,0.00%
,117089003,Wyalusing Area SD,1005,Wyalusing Valley JSHS,83,37,44.58%,37,44.58%,40,48.19%,3,3.61%,0,0.00%
Bucks,122090001,Center for Student Learning CS at Pennsb,7726,Center for Student Lrng CS Pennsbury,30,12,40.00%,12,40.00%,15,50.00%,3,10.00%,0,0.00%
,122091002,Bensalem Township SD,5116,Bensalem Twp HS,462,351,75.97%,349,75.54%,362,78.35%,11,2.38%,2,0.43%
,,,9999,Bensalem Township SD,10,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,122091303,Bristol Borough SD,1014,Bristol HS,59,39,66.10%,39,66.10%,42,71.19%,3,5.08%,0,0.00%
,,,9999,Bristol Borough SD,12,3,25.00%,3,25.00%,3,25.00%,0,0.00%,0,0.00%
,122091352,Bristol Township SD,1029,Truman SHS,348,86,24.71%,86,24.71%,92,26.44%,6,1.72%,0,0.00%
,,,9999,Bristol Township SD,19,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,122091457,Bucks County Technical High School,1030,Bucks County Technical High School,337,215,63.80%,186,55.19%,216,64.09%,1,0.30%,29,8.61%
,122092002,Centennial SD,1040,William Tennent HS,439,349,79.50%,349,79.50%,366,83.37%,17,3.87%,0,0.00%
,,,9999,Centennial SD,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,122092102,Central Bucks SD,1043,Central Bucks HS-West,472,400,84.75%,399,84.53%,402,85.17%,2,0.42%,1,0.21%
,,,5133,Central Bucks HS-East,506,477,94.27%,477,94.27%,477,94.27%,0,0.00%,0,0.00%
,,,7790,Central Bucks HS-South,595,533,89.58%,533,89.58%,534,89.75%,1,0.17%,0,0.00%
,,,9999,Central Bucks SD,17,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,122092353,Council Rock SD,5096,Council Rock HS North,435,401,92.18%,399,91.72%,403,92.64%,2,0.46%,2,0.46%
,,,7749,Council Rock HS South,500,427,85.40%,424,84.80%,433,86.60%,6,1.20%,3,0.60%
,,,9999,Council Rock SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,122093140,School Lane CS,7568,School Lane CS,71,53,74.65%,53,74.65%,57,80.28%,4,5.63%,0,0.00%
,122097203,Morrisville Borough SD,8381,Morrisville HS,59,40,67.80%,40,67.80%,41,69.49%,1,1.69%,0,0.00%
,122097502,Neshaminy SD,6455,Neshaminy HS,613,491,80.10%,491,80.10%,517,84.34%,26,4.24%,0,0.00%
,,,9999,Neshaminy SD,4,3,75.00%,3,75.00%,3,75.00%,0,0.00%,0,0.00%
,122097604,New Hope-Solebury SD,1084,New Hope-Solebury HS,136,126,92.65%,126,92.65%,127,93.38%,1,0.74%,0,0.00%
,122098003,Palisades SD,1094,Palisades HS,150,127,84.67%,127,84.67%,127,84.67%,0,0.00%,0,0.00%
,,,9999,Palisades SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,122098103,Pennridge SD,1100,Pennridge HS,589,485,82.34%,483,82.00%,487,82.68%,2,0.34%,2,0.34%
,,,9999,Pennridge SD,16,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,122098202,Pennsbury SD,4682,Pennsbury HS,753,607,80.61%,606,80.48%,616,81.81%,9,1.20%,1,0.13%
,,,9999,Pennsbury SD,13,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,122098403,Quakertown Community SD,1128,Quakertown Community HS,391,303,77.49%,302,77.24%,306,78.26%,3,0.77%,1,0.26%
,,,9999,Quakertown Community SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Butler,104101252,Butler Area SD,8344,Butler Area SHS,479,360,75.16%,347,72.44%,396,82.67%,36,7.52%,13,2.71%
,,,9999,Butler Area SD,17,5,29.41%,5,29.41%,5,29.41%,0,0.00%,0,0.00%
