county,AUN,LEA,SCHOOL CODE,SCHOOL,GRADUATE COUNT,COLLEGE BOUND,TOTAL COLLEGE BOUND %,2- OR 4-YEAR COLLEGE OR UNIVERSITY,2- OR 4-YEAR UNIVERSITY %,TOTAL POSTSECONDARY BOUND,TOTAL POSTSECONDARY BOUND %,NON-DEGREE-GRANTING POSTSECONDARY SCHOOL,NON-DEGREE-GRANTING POSTSECONDARY SCHOOL %,SPECIALIZED ASSOCIATE DEGREE GRANTING INSTITUTION,SPECIALIZED ASSOCIATE DEGREE GRANTING INSTITUTION %
,,,6811,Pittsburgh Conroy,17,0,0.00%,0,0.00%,1,5.88%,1,5.88%,0,0.00%
,,,6915,Pittsburgh Brashear HS,253,136,53.75%,136,53.75%,156,61.66%,20,7.91%,0,0.00%
,,,8105,Pittsburgh Obama 6-12,100,86,86.00%,83,83.00%,93,93.00%,7,7.00%,3,3.00%
,,,8106,Pittsburgh CAPA 6-12,121,104,85.95%,104,85.95%,108,89.26%,4,3.31%,0,0.00%
,,,8107,Pittsburgh Science and Technology Academ,100,80,80.00%,80,80.00%,80,80.00%,0,0.00%,0,0.00%
,,,8110,Pittsburgh Milliones 6-12,62,8,12.90%,7,11.29%,9,14.52%,1,1.61%,1,1.61%
,,,8203,Academy at Westinghouse,111,49,44.14%,49,44.14%,50,45.05%,1,0.90%,0,0.00%
,,,8300,Pittsburgh Online Academy,35,34,97.14%,34,97.14%,34,97.14%,0,0.00%,0,0.00%
,,Pittsburgh SD,,,"1,317",813,61.73%,789,59.91%,872,66.21%,59,4.48%,24,1.82%
,103020002,Propel CS-Homestead,7772,Propel CS-Homestead,33,31,93.94%,31,93.94%,32,96.97%,1,3.03%,0,0.00%
,,,9999,Propel CS-Homestead,1,0,0.00%,0,0.00%,1,100.00%,1,100.00%,0,0.00%
,,Propel CS-Homestead,,,34,31,91.18%,31,91.18%,33,97.06%,2,5.88%,0,0.00%
,103020004,Propel CS-Montour,7832,Propel CS-Montour,25,22,88.00%,22,88.00%,24,96.00%,2,8.00%,0,0.00%
,,,9999,Propel CS-Montour,1,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0,0.00%
,,Propel CS-Montour,,,26,23,88.46%,23,88.46%,25,96.15%,2,7.69%,0,0.00%
,103020603,Allegheny Valley SD,0029,Springdale JSHS,69,50,72.46%,47,68.12%,50,72.46%,0,0.00%,3,4.35%
,,,9999,Allegheny Valley SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Allegheny Valley SD,,,70,50,71.43%,47,67.14%,50,71.43%,0,0.00%,3,4.29%
,103020753,Avonworth SD,5199,Avonworth HS,116,91,78.45%,91,78.45%,92,79.31%,1,0.86%,0,0.00%
,,Avonworth SD,,,116,91,78.45%,91,78.45%,92,79.31%,1,0.86%,0,0.00%
,103021003,Pine-Richland SD,0315,Pine-Richland HS,367,315,85.83%,315,85.83%,318,86.65%,3,0.82%,0,0.00%
,,,9999,Pine-Richland SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Pine-Richland SD,,,368,315,85.60%,315,85.60%,318,86.41%,3,0.82%,0,0.00%
,103021102,Baldwin-Whitehall SD,0050,Baldwin SHS,324,245,75.62%,243,75.00%,247,76.23%,2,0.62%,2,0.62%
,,,9999,Baldwin-Whitehall SD,23,8,34.78%,8,34.78%,8,34.78%,0,0.00%,0,0.00%
,,Baldwin-Whitehall SD,,,347,253,72.91%,251,72.33%,255,73.49%,2,0.58%,2,0.58%
,103021252,Bethel Park SD,0062,Bethel Park HS,311,220,70.74%,220,70.74%,220,70.74%,0,0.00%,0,0.00%
,,,9999,Bethel Park SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Bethel Park SD,,,315,220,69.84%,220,69.84%,220,69.84%,0,0.00%,0,0.00%
,103021453,Brentwood Borough SD,0070,Brentwood SHS,79,51,64.56%,51,64.56%,59,74.68%,8,10.13%,0,0.00%
,,,9999,Brentwood Borough SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Brentwood Borough SD,,,80,51,63.75%,51,63.75%,59,73.75%,8,10.00%,0,0.00%
,103021603,Carlynton SD,0079,Carlynton JSHS,87,58,66.67%,58,66.67%,58,66.67%,0,0.00%,0,0.00%
,,Carlynton SD,,,87,58,66.67%,58,66.67%,58,66.67%,0,0.00%,0,0.00%
,103021752,Chartiers Valley SD,6706,Chartiers Valley HS,232,172,74.14%,171,73.71%,174,75.00%,2,0.86%,1,0.43%
,,,9999,Chartiers Valley SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Chartiers Valley SD,,,235,172,73.19%,171,72.77%,174,74.04%,2,0.85%,1,0.43%
,103021903,Clairton City SD,8094,Clairton MS/HS,48,17,35.42%,17,35.42%,17,35.42%,0,0.00%,0,0.00%
,,Clairton City SD,,,48,17,35.42%,17,35.42%,17,35.42%,0,0.00%,0,0.00%
,103022103,Cornell SD,8087,Cornell HS,43,26,60.47%,26,60.47%,33,76.74%,7,16.28%,0,0.00%
,,,9999,Cornell SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Cornell SD,,,44,26,59.09%,26,59.09%,33,75.00%,7,15.91%,0,0.00%
,103022253,Deer Lakes SD,0513,Deer Lakes HS,157,97,61.78%,94,59.87%,99,63.06%,2,1.27%,3,1.91%
,,,9999,Deer Lakes SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Deer Lakes SD,,,159,97,61.01%,94,59.12%,99,62.26%,2,1.26%,3,1.89%
,103022803,East Allegheny SD,8340,East Allegheny JSHS,101,53,52.48%,50,49.50%,54,53.47%,1,0.99%,3,2.97%
,,,9999,East Allegheny SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,East Allegheny SD,,,106,53,50.00%,50,47.17%,54,50.94%,1,0.94%,3,2.83%
,103023153,Elizabeth Forward SD,0144,Elizabeth Forward SHS,185,99,53.51%,92,49.73%,106,57.30%,7,3.78%,7,3.78%
,,,9999,Elizabeth Forward SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Elizabeth Forward SD,,,186,99,53.23%,92,49.46%,106,56.99%,7,3.76%,7,3.76%
,103023410,Spectrum CS,7648,Spectrum CS,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Spectrum CS,,,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103023912,Fox Chapel Area SD,0156,Fox Chapel Area HS,336,276,82.14%,270,80.36%,276,82.14%,0,0.00%,6,1.79%
,,Fox Chapel Area SD,,,336,276,82.14%,270,80.36%,276,82.14%,0,0.00%,6,1.79%
,103024102,Gateway SD,0170,Gateway SHS,260,114,43.85%,114,43.85%,124,47.69%,10,3.85%,0,0.00%
,,,9999,Gateway SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Gateway SD,,,264,114,43.18%,114,43.18%,124,46.97%,10,3.79%,0,0.00%
,103024603,Hampton Township SD,5190,Hampton HS,243,209,86.01%,209,86.01%,209,86.01%,0,0.00%,0,0.00%
,,,9999,Hampton Township SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Hampton Township SD,,,246,209,84.96%,209,84.96%,209,84.96%,0,0.00%,0,0.00%
,103024753,Highlands SD,5153,Highlands SHS,143,83,58.04%,82,57.34%,83,58.04%,0,0.00%,1,0.70%
,,,9999,Highlands SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Highlands SD,,,144,83,57.64%,82,56.94%,83,57.64%,0,0.00%,1,0.69%
,103025002,Keystone Oaks SD,5112,Keystone Oaks HS,138,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,9999,Keystone Oaks SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Keystone Oaks SD,,,140,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103026002,McKeesport Area SD,6105,McKeesport Area SHS,208,112,53.85%,109,52.40%,126,60.58%,14,6.73%,3,1.44%
,,McKeesport Area SD,,,208,112,53.85%,109,52.40%,126,60.58%,14,6.73%,3,1.44%
,103026303,Montour SD,5017,Montour HS,220,158,71.82%,158,71.82%,160,72.73%,2,0.91%,0,0.00%
,,,9999,Montour SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Montour SD,,,223,158,70.85%,158,70.85%,160,71.75%,2,0.90%,0,0.00%
,103026343,Moon Area SD,4951,Moon SHS,273,215,78.75%,209,76.56%,217,79.49%,2,0.73%,6,2.20%
,,,9999,Moon Area SD,5,1,20.00%,1,20.00%,1,20.00%,0,0.00%,0,0.00%
,,Moon Area SD,,,278,216,77.70%,210,75.54%,218,78.42%,2,0.72%,6,2.16%
,103026402,Mt Lebanon SD,0254,Mt Lebanon SHS,435,400,91.95%,400,91.95%,401,92.18%,1,0.23%,0,0.00%
,,,9999,Mt Lebanon SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Mt Lebanon SD,,,440,400,90.91%,400,90.91%,401,91.14%,1,0.23%,0,0.00%
,103026852,North Allegheny SD,8305,North Allegheny HS,679,582,85.71%,582,85.71%,588,86.60%,6,0.88%,0,0.00%
,,,9999,North Allegheny SD,9,1,11.11%,1,11.11%,1,11.11%,0,0.00%,0,0.00%
,,North Allegheny SD,,,688,583,84.74%,583,84.74%,589,85.61%,6,0.87%,0,0.00%
,103026873,Northgate SD,0053,Northgate MSHS,70,37,52.86%,37,52.86%,40,57.14%,3,4.29%,0,0.00%
,,,9999,Northgate SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Northgate SD,,,72,37,51.39%,37,51.39%,40,55.56%,3,4.17%,0,0.00%
,103026902,North Hills SD,7101,North Hills SHS,335,244,72.84%,241,71.94%,260,77.61%,16,4.78%,3,0.90%
,,North Hills SD,,,335,244,72.84%,241,71.94%,260,77.61%,16,4.78%,3,0.90%
,103027352,Penn Hills SD,0309,Penn Hills SHS,209,93,44.50%,90,43.06%,99,47.37%,6,2.87%,3,1.44%
,,Penn Hills SD,,,209,93,44.50%,90,43.06%,99,47.37%,6,2.87%,3,1.44%
,103027503,Plum Borough SD,0435,Plum SHS,288,217,75.35%,207,71.88%,228,79.17%,11,3.82%,10,3.47%
,,Plum Borough SD,,,288,217,75.35%,207,71.88%,228,79.17%,11,3.82%,10,3.47%
,103027753,Quaker Valley SD,0448,Quaker Valley HS,169,135,79.88%,134,79.29%,137,81.07%,2,1.18%,1,0.59%
,,,9999,Quaker Valley SD,4,0,0.00%,0,0.00%,1,25.00%,1,25.00%,0,0.00%
,,Quaker Valley SD,,,173,135,78.03%,134,77.46%,138,79.77%,3,1.73%,1,0.58%
,103028203,Riverview SD,6928,Riverview JSHS,54,45,83.33%,43,79.63%,45,83.33%,0,0.00%,2,3.70%
,,,9999,Riverview SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Riverview SD,,,56,45,80.36%,43,76.79%,45,80.36%,0,0.00%,2,3.57%
,103028302,Shaler Area SD,0460,Shaler Area HS,331,239,72.21%,239,72.21%,257,77.64%,18,5.44%,0,0.00%
,,,9999,Shaler Area SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Shaler Area SD,,,334,239,71.56%,239,71.56%,257,76.95%,18,5.39%,0,0.00%
,103028425,Westinghouse Arts Academy CS,8392,Westinghouse Arts Academy CS,49,22,44.90%,22,44.90%,24,48.98%,2,4.08%,0,0.00%
,,Westinghouse Arts Academy CS,,,49,22,44.90%,22,44.90%,24,48.98%,2,4.08%,0,0.00%
,103028653,South Allegheny SD,8459,South Allegheny HS,125,84,67.20%,82,65.60%,84,67.20%,0,0.00%,2,1.60%
,,,9999,South Allegheny SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,South Allegheny SD,,,126,84,66.67%,82,65.08%,84,66.67%,0,0.00%,2,1.59%
,103028703,South Fayette Township SD,0470,South Fayette Twp HS,262,228,87.02%,228,87.02%,241,91.98%,13,4.96%,0,0.00%
,,,9999,South Fayette Township SD,3,0,0.00%,0,0.00%,1,33.33%,1,33.33%,0,0.00%
,,South Fayette Township SD,,,265,228,86.04%,228,86.04%,242,91.32%,14,5.28%,0,0.00%
,103028753,South Park SD,0467,South Park SHS,146,94,64.38%,93,63.70%,97,66.44%,3,2.05%,1,0.68%
,,,9999,South Park SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,South Park SD,,,147,94,63.95%,93,63.27%,97,65.99%,3,2.04%,1,0.68%
,103028833,Steel Valley SD,0196,Steel Valley SHS,86,47,54.65%,47,54.65%,47,54.65%,0,0.00%,0,0.00%
,,,9999,Steel Valley SD,3,0,0.00%,0,0.00%,3,100.00%,3,100.00%,0,0.00%
,,Steel Valley SD,,,89,47,52.81%,47,52.81%,50,56.18%,3,3.37%,0,0.00%
,103028853,Sto-Rox SD,0477,Sto-Rox JSHS,73,34,46.58%,34,46.58%,38,52.05%,4,5.48%,0,0.00%
,,Sto-Rox SD,,,73,34,46.58%,34,46.58%,38,52.05%,4,5.48%,0,0.00%
,103029203,Upper St. Clair SD,0492,Upper Saint Clair HS,324,294,90.74%,294,90.74%,301,92.90%,7,2.16%,0,0.00%
,,,9999,Upper St. Clair SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Upper St. Clair SD,,,330,294,89.09%,294,89.09%,301,91.21%,7,2.12%,0,0.00%
,103029403,West Allegheny SD,0509,West Allegheny SHS,274,217,79.20%,214,78.10%,226,82.48%,9,3.28%,3,1.09%
,,West Allegheny SD,,,274,217,79.20%,214,78.10%,226,82.48%,9,3.28%,3,1.09%
,103029553,West Jefferson Hills SD,0523,Thomas Jefferson HS,231,156,67.53%,155,67.10%,157,67.97%,1,0.43%,1,0.43%
,,West Jefferson Hills SD,,,231,156,67.53%,155,67.10%,157,67.97%,1,0.43%,1,0.43%
,103029603,West Mifflin Area SD,0536,West Mifflin Area HS,200,123,61.50%,121,60.50%,126,63.00%,3,1.50%,2,1.00%
,,,9999,West Mifflin Area SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,West Mifflin Area SD,,,204,123,60.29%,121,59.31%,126,61.76%,3,1.47%,2,0.98%
,103029803,Wilkinsburg Borough SD,0000,Wilkinsburg Borough SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Wilkinsburg Borough SD,,,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103029902,Woodland Hills SD,0107,Woodland Hills HS,224,129,57.59%,127,56.70%,147,65.63%,18,8.04%,2,0.89%
,,Woodland Hills SD,,,224,129,57.59%,127,56.70%,147,65.63%,18,8.04%,2,0.89%
,115220003,Pennsylvania Distance Learning CS,7821,Pennsylvania Distance Learning CS,83,34,40.96%,34,40.96%,44,53.01%,10,12.05%,0,0.00%
,,Pennsylvania Distance Learning CS,,,83,34,40.96%,34,40.96%,44,53.01%,10,12.05%,0,0.00%
,160028259,Propel CS-Braddock Hills,8129,Propel CS-Braddock Hills,42,32,76.19%,25,59.52%,32,76.19%,0,0.00%,7,16.67%
,,,9999,Propel CS-Braddock Hills,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Propel CS-Braddock Hills,,,46,32,69.57%,25,54.35%,32,69.57%,0,0.00%,7,15.22%
Allegheny,,,,,"10,383","7,157",68.93%,"7,054",67.94%,"7,443",71.68%,286,2.75%,103,0.99%
Armstrong,128030603,Apollo-Ridge SD,2320,Apollo-Ridge HS,65,40,61.54%,39,60.00%,44,67.69%,4,6.15%,1,1.54%
,,,9999,Apollo-Ridge SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Apollo-Ridge SD,,,71,40,56.34%,39,54.93%,44,61.97%,4,5.63%,1,1.41%
,128030852,Armstrong SD,7640,West Shamokin JSHS,64,43,67.19%,42,65.63%,43,67.19%,0,0.00%,1,1.56%
,,,8342,Armstrong JSHS,190,107,56.32%,107,56.32%,113,59.47%,6,3.16%,0,0.00%
,,,9999,Armstrong SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Armstrong SD,,,260,150,57.69%,149,57.31%,156,60.00%,6,2.31%,1,0.38%
,128033053,Freeport Area SD,0594,Freeport Area SHS,149,102,68.46%,97,65.10%,103,69.13%,1,0.67%,5,3.36%
,,,9999,Freeport Area SD,5,1,20.00%,1,20.00%,2,40.00%,1,20.00%,0,0.00%
,,Freeport Area SD,,,154,103,66.88%,98,63.64%,105,68.18%,2,1.30%,5,3.25%
,128034503,Leechburg Area SD,7923,Leechburg Area HS,41,26,63.41%,26,63.41%,28,68.29%,2,4.88%,0,0.00%
,,Leechburg Area SD,,,41,26,63.41%,26,63.41%,28,68.29%,2,4.88%,0,0.00%
,128034607,Lenape Tech,4807,Lenape Tech,163,46,28.22%,43,26.38%,51,31.29%,5,3.07%,3,1.84%
,,Lenape Tech,,,163,46,28.22%,43,26.38%,51,31.29%,5,3.07%,3,1.84%
Armstrong,,,,,689,365,52.98%,355,51.52%,384,55.73%,19,2.76%,10,1.45%
Beaver,127040002,Lincoln Park Performing Arts CS,7859,Lincoln Park Performing Arts CS,153,114,74.51%,113,73.86%,122,79.74%,8,5.23%,1,0.65%
,,Lincoln Park Performing Arts CS,,,153,114,74.51%,113,73.86%,122,79.74%,8,5.23%,1,0.65%
,127040503,Aliquippa SD,8086,Aliquippa JSHS,66,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,9999,Aliquippa SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Aliquippa SD,,,67,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,127040703,Ambridge Area SD,6555,Ambridge Area HS,157,79,50.32%,70,44.59%,83,52.87%,4,2.55%,9,5.73%
,,,9999,Ambridge Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Ambridge Area SD,,,159,79,49.69%,70,44.03%,83,52.20%,4,2.52%,9,5.66%
,127041203,Beaver Area SD,0640,Beaver Area SHS,184,121,65.76%,113,61.41%,127,69.02%,6,3.26%,8,4.35%
,,,9999,Beaver Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Beaver Area SD,,,185,121,65.41%,113,61.08%,127,68.65%,6,3.24%,8,4.32%
,127041503,Big Beaver Falls Area SD,0649,Beaver Falls Area SHS,96,38,39.58%,30,31.25%,42,43.75%,4,4.17%,8,8.33%
,,,9999,Big Beaver Falls Area SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Big Beaver Falls Area SD,,,100,38,38.00%,30,30.00%,42,42.00%,4,4.00%,8,8.00%
,127041603,Blackhawk SD,6707,Blackhawk HS,171,117,68.42%,113,66.08%,127,74.27%,10,5.85%,4,2.34%
,,,9999,Blackhawk SD,2,0,0.00%,0,0.00%,1,50.00%,1,50.00%,0,0.00%
,,Blackhawk SD,,,173,117,67.63%,113,65.32%,128,73.99%,11,6.36%,4,2.31%
,127042003,Central Valley SD,8044,Central Valley HS,181,115,63.54%,114,62.98%,115,63.54%,0,0.00%,1,0.55%
,,Central Valley SD,,,181,115,63.54%,114,62.98%,115,63.54%,0,0.00%,1,0.55%
,127042853,Freedom Area SD,6563,Freedom Area SHS,102,52,50.98%,52,50.98%,63,61.76%,11,10.78%,0,0.00%
,,Freedom Area SD,,,102,52,50.98%,52,50.98%,63,61.76%,11,10.78%,0,0.00%
,127043430,Pennsylvania Cyber CS,7650,Pennsylvania Cyber CS,"1,145",445,38.86%,383,33.45%,464,40.52%,19,1.66%,62,5.41%
,,,9999,Pennsylvania Cyber CS,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Pennsylvania Cyber CS,,,"1,147",445,38.80%,383,33.39%,464,40.45%,19,1.66%,62,5.41%
,127044103,Hopewell Area SD,0675,Hopewell SHS,142,87,61.27%,86,60.56%,97,68.31%,10,7.04%,1,0.70%
,,Hopewell Area SD,,,142,87,61.27%,86,60.56%,97,68.31%,10,7.04%,1,0.70%
,127045653,New Brighton Area SD,0695,New Brighton Area HS,97,59,60.82%,49,50.52%,65,67.01%,6,6.19%,10,10.31%
,,New Brighton Area SD,,,97,59,60.82%,49,50.52%,65,67.01%,6,6.19%,10,10.31%
,127045853,Riverside Beaver County SD,0700,Riverside HS,109,73,66.97%,70,64.22%,76,69.72%,3,2.75%,3,2.75%
,,,9999,Riverside Beaver County SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Riverside Beaver County SD,,,110,73,66.36%,70,63.64%,76,69.09%,3,2.73%,3,2.73%
,127046903,Rochester Area SD,8000,Rochester High School,50,19,38.00%,19,38.00%,20,40.00%,1,2.00%,0,0.00%
,,Rochester Area SD,,,50,19,38.00%,19,38.00%,20,40.00%,1,2.00%,0,0.00%
,127047404,South Side Area SD,0714,South Side HS,84,43,51.19%,43,51.19%,45,53.57%,2,2.38%,0,0.00%
,,,9999,South Side Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,South Side Area SD,,,85,43,50.59%,43,50.59%,45,52.94%,2,2.35%,0,0.00%
,127049303,Western Beaver County SD,0719,Western Beaver Co JSHS,48,37,77.08%,36,75.00%,38,79.17%,1,2.08%,1,2.08%
,,,9999,Western Beaver County SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Western Beaver County SD,,,51,37,72.55%,36,70.59%,38,74.51%,1,1.96%,1,1.96%
Beaver,,,,,"2,802","1,399",49.93%,"1,291",46.07%,"1,485",53.00%,86,3.07%,108,3.85%
Bedford,108051003,Bedford Area SD,0726,Bedford SHS,137,55,40.15%,53,38.69%,58,42.34%,3,2.19%,2,1.46%
,,Bedford Area SD,,,137,55,40.15%,53,38.69%,58,42.34%,3,2.19%,2,1.46%
,108051503,Chestnut Ridge SD,0732,Chestnut Ridge SHS,92,41,44.57%,40,43.48%,49,53.26%,8,8.70%,1,1.09%
,,,9999,Chestnut Ridge SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Chestnut Ridge SD,,,93,41,44.09%,40,43.01%,49,52.69%,8,8.60%,1,1.08%
,108053003,Everett Area SD,7897,Everett Area HS,105,42,40.00%,42,40.00%,53,50.48%,11,10.48%,0,0.00%
,,Everett Area SD,,,105,42,40.00%,42,40.00%,53,50.48%,11,10.48%,0,0.00%
,108056004,Northern Bedford County SD,8436,Northern Bedford County HS,66,36,54.55%,35,53.03%,42,63.64%,6,9.09%,1,1.52%
,,,9999,Northern Bedford County SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,Northern Bedford County SD,,,67,36,53.73%,35,52.24%,42,62.69%,6,8.96%,1,1.49%
,108057079,HOPE for Hyndman CS,8154,HOPE for Hyndman CS,12,2,16.67%,2,16.67%,4,33.33%,2,16.67%,0,0.00%
,,HOPE for Hyndman CS,,,12,2,16.67%,2,16.67%,4,33.33%,2,16.67%,0,0.00%
,108058003,Tussey Mountain SD,0753,Tussey Mountain HS,77,29,37.66%,28,36.36%,32,41.56%,3,3.90%,1,1.30%
,,Tussey Mountain SD,,,77,29,37.66%,28,36.36%,32,41.56%,3,3.90%,1,1.30%
Bedford,,,,,491,205,41.75%,200,40.73%,238,48.47%,33,6.72%,5,1.02%
Berks,114060503,Antietam SD,0820,Antietam MS/HS,76,49,64.47%,45,59.21%,54,71.05%,5,6.58%,4,5.26%
,,,9999,Antietam SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
