county Name,AUN,LEA,School Code,School,Graduate Count,College Bound,Total College Bound %,2- or 4-Year College or University,2- Or 4-Year University %,Total Postsecondary Bound,Total Postsecondary Bound %,Non-Degree-Granting Postsecondary School,Non-Degree-Granting Postsecondary School %,Specialized Associate Degree Granting Institution,Specialized Associate Degree Granting Institution %
,109531304,Coudersport Area SD,3869,Coudersport Area JSHS,61,41,67.21%,41,67.21%,41,67.21%,0,0.00%,0,0.00%
,,,9999,Coudersport Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,109532804,Galeton Area SD,6223,Galeton Area Sch,14,6,42.86%,5,35.71%,8,57.14%,2,14.29%,1,7.14%
,109535504,Northern Potter SD,3875,Northern Potter JSHS,36,19,52.78%,19,52.78%,19,52.78%,0,0.00%,0,0.00%
,109537504,Oswayo Valley SD,3877,Oswayo Valley HS,34,21,61.76%,21,61.76%,21,61.76%,0,0.00%,0,0.00%
,,,9999,Oswayo Valley SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Schuylkill,129540803,Blue Mountain SD,3891,Blue Mountain HS,205,145,70.73%,132,64.39%,147,71.71%,2,0.98%,13,6.34%
,129544503,Mahanoy Area SD,8403,Mahanoy Area JSHS,82,56,68.29%,56,68.29%,61,74.39%,5,6.10%,0,0.00%
,,,9999,Mahanoy Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,129544703,Minersville Area SD,6583,Minersville Area JSHS,66,46,69.70%,43,65.15%,48,72.73%,2,3.03%,3,4.55%
,129544907,Gillingham Charter School,8161,Gillingham Charter School,11,5,45.45%,5,45.45%,5,45.45%,0,0.00%,0,0.00%
,129545003,North Schuylkill SD,3883,North Schuylkill JSHS,123,69,56.10%,69,56.10%,70,56.91%,1,0.81%,0,0.00%
,129546003,Pine Grove Area SD,3910,Pine Grove Area HS,126,63,50.00%,61,48.41%,72,57.14%,9,7.14%,2,1.59%
,129546103,Pottsville Area SD,3924,Pottsville Area HS,214,138,64.49%,123,57.48%,140,65.42%,2,0.93%,15,7.01%
,,,9999,Pottsville Area SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,129547203,Shenandoah Valley SD,3940,Shenandoah Valley JSHS,78,47,60.26%,47,60.26%,49,62.82%,2,2.56%,0,0.00%
,129547303,Schuylkill Haven Area SD,5264,Schuylkill Haven SHS,104,66,63.46%,66,63.46%,66,63.46%,0,0.00%,0,0.00%
,129547603,Tamaqua Area SD,5070,Tamaqua Area SHS,157,136,86.62%,135,85.99%,137,87.26%,1,0.64%,1,0.64%
,129547803,Tri-Valley SD,3957,Tri-Valley JSHS,71,46,64.79%,46,64.79%,54,76.06%,8,11.27%,0,0.00%
,129548803,Williams Valley SD,3914,Williams Valley JSHS,68,36,52.94%,29,42.65%,42,61.76%,6,8.82%,7,10.29%
,,,9999,Williams Valley SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Snyder,116555003,Midd-West SD,3962,Midd-West HS,175,68,38.86%,67,38.29%,69,39.43%,1,0.57%,1,0.57%
,,,9999,Midd-West SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,116557103,Selinsgrove Area SD,3969,Selinsgrove Area HS,147,108,73.47%,108,73.47%,108,73.47%,0,0.00%,0,0.00%
Somerset,108561003,Berlin Brothersvalley SD,6207,Berlin Brothersvalley SHS,69,35,50.72%,35,50.72%,46,66.67%,11,15.94%,0,0.00%
,108561803,Conemaugh Township Area SD,3978,Conemaugh Twp Area MS/SHS,73,55,75.34%,51,69.86%,56,76.71%,1,1.37%,4,5.48%
,108565203,Meyersdale Area SD,3994,Meyersdale Area HS,64,39,60.94%,37,57.81%,39,60.94%,0,0.00%,2,3.13%
,,,9999,Meyersdale Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,108565503,North Star SD,3988,North Star HS,93,49,52.69%,48,51.61%,51,54.84%,2,2.15%,1,1.08%
,108566303,Rockwood Area SD,6210,Rockwood Area JSHS,53,28,52.83%,28,52.83%,28,52.83%,0,0.00%,0,0.00%
,108567004,Salisbury-Elk Lick SD,4002,Salisbury-Elk Lick JSHS,21,10,47.62%,10,47.62%,11,52.38%,1,4.76%,0,0.00%
,108567204,Shade-Central City SD,4006,Shade JSHS,30,17,56.67%,17,56.67%,17,56.67%,0,0.00%,0,0.00%
,108567404,Shanksville-Stonycreek SD,6800,Shanksville-Stonycreek HS,23,11,47.83%,11,47.83%,12,52.17%,1,4.35%,0,0.00%
,108567703,Somerset Area SD,8274,Somerset Area Jr-Sr HS,187,103,55.08%,91,48.66%,108,57.75%,5,2.67%,12,6.42%
,108568404,Turkeyfoot Valley Area SD,6216,Turkeyfoot Valley Area JSHS,26,12,46.15%,12,46.15%,12,46.15%,0,0.00%,0,0.00%
,108569103,Windber Area SD,4026,Windber Area HS,86,57,66.28%,56,65.12%,63,73.26%,6,6.98%,1,1.16%
,,,9999,Windber Area SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Sullivan,117576303,Sullivan County SD,4030,Sullivan Co JSHS,41,23,56.10%,23,56.10%,24,58.54%,1,2.44%,0,0.00%
Susquehanna,119581003,Blue Ridge SD,4034,Blue Ridge HS,66,46,69.70%,42,63.64%,46,69.70%,0,0.00%,4,6.06%
,119582503,Elk Lake SD,6418,Elk Lake JSHS,96,55,57.29%,54,56.25%,55,57.29%,0,0.00%,1,1.04%
,119583003,Forest City Regional SD,6419,Forest City Regional HS,52,30,57.69%,30,57.69%,32,61.54%,2,3.85%,0,0.00%
,,,9999,Forest City Regional SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,119584503,Montrose Area SD,4044,Montrose Area JSHS,127,82,64.57%,74,58.27%,83,65.35%,1,0.79%,8,6.30%
,119584603,Mountain View SD,4049,Mountain View JSHS,67,42,62.69%,42,62.69%,48,71.64%,6,8.96%,0,0.00%
,119586503,Susquehanna Community SD,4054,Susquehanna Community JSHS,53,30,56.60%,30,56.60%,31,58.49%,1,1.89%,0,0.00%
,,,9999,Susquehanna Community SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Tioga,117596003,Northern Tioga SD,4058,Cowanesque Valley JSHS,50,26,52.00%,26,52.00%,26,52.00%,0,0.00%,0,0.00%
,,,6373,Williamson SHS,83,55,66.27%,55,66.27%,59,71.08%,4,4.82%,0,0.00%
,117597003,Southern Tioga SD,4064,North Penn-Liberty JSHS,45,27,60.00%,27,60.00%,28,62.22%,1,2.22%,0,0.00%
,,,4068,North Penn-Mansfield JSHS,85,45,52.94%,45,52.94%,48,56.47%,3,3.53%,0,0.00%
,117598503,Wellsboro Area SD,4080,Wellsboro Area HS,107,77,71.96%,72,67.29%,79,73.83%,2,1.87%,5,4.67%
Union,116604003,Lewisburg Area SD,4085,Lewisburg HS,172,146,84.88%,146,84.88%,146,84.88%,0,0.00%,0,0.00%
,116605003,Mifflinburg Area SD,4091,Mifflinburg Area SHS,157,80,50.96%,78,49.68%,82,52.23%,2,1.27%,2,1.27%
Venango,106611303,Cranberry Area SD,4098,Cranberry Area JSHS,89,48,53.93%,48,53.93%,57,64.04%,9,10.11%,0,0.00%
,106612203,Franklin Area SD,4106,Franklin Area JSHS,136,81,59.56%,80,58.82%,87,63.97%,6,4.41%,1,0.74%
,,,9999,Franklin Area SD,10,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,106616203,Oil City Area SD,4931,Oil City SHS,143,76,53.15%,72,50.35%,79,55.24%,3,2.10%,4,2.80%
,,,9999,Oil City Area SD,16,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,106617203,Titusville Area SD,1668,Titusville SHS,135,70,51.85%,64,47.41%,76,56.30%,6,4.44%,6,4.44%
,106618603,Valley Grove SD,4126,Rocky Grove JSHS,64,36,56.25%,31,48.44%,36,56.25%,0,0.00%,5,7.81%
Warren,105620001,Tidioute Community CS,7833,Tidioute Community CS,21,17,80.95%,17,80.95%,17,80.95%,0,0.00%,0,0.00%
,105628302,Warren County SD,4135,Youngsville HS,65,33,50.77%,33,50.77%,34,52.31%,1,1.54%,0,0.00%
,,,4143,Eisenhower M/HS,70,41,58.57%,39,55.71%,45,64.29%,4,5.71%,2,2.86%
,,,4146,Sheffield M/HS,44,19,43.18%,14,31.82%,20,45.45%,1,2.27%,5,11.36%
,,,4149,Warren Area HS,178,103,57.87%,97,54.49%,108,60.67%,5,2.81%,6,3.37%
Washington,101630504,Avella Area SD,4165,Avella Area JSHS,35,21,60.00%,19,54.29%,21,60.00%,0,0.00%,2,5.71%
,101630903,Bentworth SD,4188,Bentworth SHS,80,60,75.00%,54,67.50%,60,75.00%,0,0.00%,6,7.50%
,,,9999,Bentworth SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,101631003,Bethlehem-Center SD,4181,Bethlehem-Center SHS,73,41,56.16%,37,50.68%,41,56.16%,0,0.00%,4,5.48%
,101631203,Burgettstown Area SD,4195,Burgettstown MS/HS,103,70,67.96%,70,67.96%,70,67.96%,0,0.00%,0,0.00%
,,,9999,Burgettstown Area SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,101631503,California Area SD,4203,California Area SHS,87,63,72.41%,61,70.11%,68,78.16%,5,5.75%,2,2.30%
,101631703,Canon-McMillan SD,4217,Canon-McMillan SHS,386,314,81.35%,306,79.27%,315,81.61%,1,0.26%,8,2.07%
,,,9999,Canon-McMillan SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,101631803,Charleroi SD,4715,Charleroi Area HS,98,64,65.31%,61,62.24%,64,65.31%,0,0.00%,3,3.06%
,,,9999,Charleroi SD,1,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0,0.00%
,101631903,Chartiers-Houston SD,4235,Chartiers-Houston JSHS,96,76,79.17%,70,72.92%,77,80.21%,1,1.04%,6,6.25%
,,,9999,Chartiers-Houston SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,101632403,Fort Cherry SD,4242,Fort Cherry JSHS,78,53,67.95%,50,64.10%,55,70.51%,2,2.56%,3,3.85%
,101633903,McGuffey SD,4249,McGuffey HS,116,68,58.62%,57,49.14%,68,58.62%,0,0.00%,11,9.48%
,,,9999,McGuffey SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,101636503,Peters Township SD,5083,Peters Twp HS,336,311,92.56%,311,92.56%,315,93.75%,4,1.19%,0,0.00%
,,,9999,Peters Township SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,101637002,Ringgold SD,7019,Ringgold SHS,223,149,66.82%,146,65.47%,152,68.16%,3,1.35%,3,1.35%
,,,9999,Ringgold SD,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,101638003,Trinity Area SD,6012,Trinity SHS,245,168,68.57%,160,65.31%,175,71.43%,7,2.86%,8,3.27%
,,,9999,Trinity Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,101638803,Washington SD,4286,Washington HS,91,58,63.74%,58,63.74%,65,71.43%,7,7.69%,0,0.00%
,,,9999,Washington SD,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Wayne,119648703,Wayne Highlands SD,4295,Honesdale HS,189,135,71.43%,135,71.43%,140,74.07%,5,2.65%,0,0.00%
,,,9999,Wayne Highlands SD,17,10,58.82%,10,58.82%,10,58.82%,0,0.00%,0,0.00%
,119648903,Western Wayne SD,6704,Western Wayne HS,147,102,69.39%,97,65.99%,104,70.75%,2,1.36%,5,3.40%
Westmoreland,107650603,Belle Vernon Area SD,4930,Belle Vernon Area HS,183,142,77.60%,135,73.77%,148,80.87%,6,3.28%,7,3.83%
,107650703,Burrell SD,4340,Burrell HS,125,98,78.40%,95,76.00%,98,78.40%,0,0.00%,3,2.40%
,,,9999,Burrell SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,107651603,Derry Area SD,4352,Derry Area SHS,151,110,72.85%,101,66.89%,111,73.51%,1,0.66%,9,5.96%
,,,9999,Derry Area SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,107652603,Franklin Regional SD,4360,Franklin Regional SHS,306,278,90.85%,278,90.85%,280,91.50%,2,0.65%,0,0.00%
,107653040,Dr Robert Ketterer CS Inc,7550,Dr Robert Ketterer CS Inc.,31,16,51.61%,16,51.61%,18,58.06%,2,6.45%,0,0.00%
,107653102,Greater Latrobe SD,4845,Greater Latrobe SHS,309,232,75.08%,226,73.14%,242,78.32%,10,3.24%,6,1.94%
,,,9999,Greater Latrobe SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,107653203,Greensburg Salem SD,4373,Greensburg-Salem HS,166,163,98.19%,136,81.93%,163,98.19%,0,0.00%,27,16.27%
,,,9999,Greensburg Salem SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,107653802,Hempfield Area SD,4404,Hempfield Area SHS,437,352,80.55%,345,78.95%,358,81.92%,6,1.37%,7,1.60%
,,,9999,Hempfield Area SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,107654103,Jeannette City SD,8421,Jeannette HS,52,38,73.08%,33,63.46%,39,75.00%,1,1.92%,5,9.62%
,,,9999,Jeannette City SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,107654403,Kiski Area SD,4431,Kiski Area HS,291,200,68.73%,194,66.67%,207,71.13%,7,2.41%,6,2.06%
,107654903,Ligonier Valley SD,4442,Ligonier Valley HS,129,97,75.19%,96,74.42%,106,82.17%,9,6.98%,1,0.78%
,107655803,Monessen City SD,6181,Monessen SHS,48,26,54.17%,22,45.83%,27,56.25%,1,2.08%,4,8.33%
,,,9999,Monessen City SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,107655903,Mount Pleasant Area SD,4458,Mount Pleasant Area HS,160,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,107656303,New Kensington-Arnold SD,8323,Valley JSHS,116,86,74.14%,77,66.38%,86,74.14%,0,0.00%,9,7.76%
,107656502,Norwin SD,4717,Norwin SHS,377,322,85.41%,316,83.82%,326,86.47%,4,1.06%,6,1.59%
,,,9999,Norwin SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,107657103,Penn-Trafford SD,6648,Penn Trafford HS,333,275,82.58%,274,82.28%,280,84.08%,5,1.50%,1,0.30%
,,,9999,Penn-Trafford SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,107657503,Southmoreland SD,6191,Southmoreland SHS,135,101,74.81%,101,74.81%,101,74.81%,0,0.00%,0,0.00%
,,,9999,Southmoreland SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,107658903,Yough SD,4735,Yough SHS,177,126,71.19%,116,65.54%,126,71.19%,0,0.00%,10,5.65%
,,,9999,Yough SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Wyoming,118667503,Tunkhannock Area SD,5271,Tunkhannock HS,184,127,69.02%,124,67.39%,132,71.74%,5,2.72%,3,1.63%
,119665003,Lackawanna Trail SD,4528,Lackawanna Trail JSHS,82,50,60.98%,50,60.98%,56,68.29%,6,7.32%,0,0.00%
,,,9999,Lackawanna Trail SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
York,112671303,Central York SD,4545,Central York HS,458,351,76.64%,336,73.36%,358,78.17%,7,1.53%,15,3.28%
,,,9999,Central York SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112671603,Dallastown Area SD,4553,Dallastown Area SHS,453,339,74.83%,339,74.83%,361,79.69%,22,4.86%,0,0.00%
,,,9999,Dallastown Area SD,11,5,45.45%,5,45.45%,6,54.55%,1,9.09%,0,0.00%
,112671803,Dover Area SD,4558,Dover Area HS,227,142,62.56%,138,60.79%,148,65.20%,6,2.64%,4,1.76%
,,,9999,Dover Area SD,10,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112672203,Eastern York SD,4564,Eastern York HS,158,92,58.23%,88,55.70%,101,63.92%,9,5.70%,4,2.53%
,,,9999,Eastern York SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112672803,Hanover Public SD,4571,Hanover SHS,111,56,50.45%,56,50.45%,58,52.25%,2,1.80%,0,0.00%
,,,9999,Hanover Public SD,10,1,10.00%,1,10.00%,1,10.00%,0,0.00%,0,0.00%
,112673300,Crispus Attucks CS,7624,Crispus Attucks CS,53,1,1.89%,1,1.89%,1,1.89%,0,0.00%,0,0.00%
,112674403,Northeastern York SD,4577,Northeastern SHS,219,159,72.60%,158,72.15%,165,75.34%,6,2.74%,1,0.46%
,,,9999,Northeastern York SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112675503,Red Lion Area SD,4598,Red Lion Area SHS,376,230,61.17%,218,57.98%,244,64.89%,14,3.72%,12,3.19%
,,,9999,Red Lion Area SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112676203,South Eastern SD,4602,Kennard-Dale HS,165,117,70.91%,108,65.45%,118,71.52%,1,0.61%,9,5.45%
,,,9999,South Eastern SD,16,2,12.50%,2,12.50%,4,25.00%,2,12.50%,0,0.00%
,112676403,South Western SD,4608,South Western SHS,297,212,71.38%,210,70.71%,222,74.75%,10,3.37%,2,0.67%
,,,9999,South Western SD,17,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112676503,Southern York County SD,4614,Susquehannock HS,226,166,73.45%,162,71.68%,172,76.11%,6,2.65%,4,1.77%
,,,9999,Southern York County SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112676703,Spring Grove Area SD,4623,Spring Grove Area HS,265,148,55.85%,141,53.21%,152,57.36%,4,1.51%,7,2.64%
,,,9999,Spring Grove Area SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112678503,West York Area SD,6705,West York Area HS,213,140,65.73%,124,58.22%,147,69.01%,7,3.29%,16,7.51%
,,,9999,West York Area SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,112679002,York City SD,4647,William Penn SHS,199,123,61.81%,113,56.78%,128,64.32%,5,2.51%,10,5.03%
,,,9999,York City SD,22,1,4.55%,1,4.55%,2,9.09%,1,4.55%,0,0.00%
,112679107,York Co School of Technology,5168,York Co School of Technology,358,165,46.09%,154,43.02%,169,47.21%,4,1.12%,11,3.07%
,112679403,York Suburban SD,4658,York Suburban SHS,196,148,75.51%,148,75.51%,150,76.53%,2,1.02%,0,0.00%
,,,9999,York Suburban SD,16,8,50.00%,6,37.50%,10,62.50%,2,12.50%,2,12.50%
,115219002,West Shore SD,1732,Cedar Cliff HS,267,196,73.41%,196,73.41%,197,73.78%,1,0.37%,0,0.00%
,,,4704,Red Land SHS,285,200,70.18%,200,70.18%,207,72.63%,7,2.46%,0,0.00%
,,,9999,West Shore SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,115674603,Northern York County SD,6345,Northern HS,247,149,60.32%,144,58.30%,149,60.32%,0,0.00%,5,2.02%
,,,9999,Northern York County SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Overall,,,,,"125,746","87,507",69.59%,"85,069",67.65%,"90,179",71.72%,"2,672",2.12%,"2,438",1.94%
"May 10, 20191:40:15 PM",,,,,,- 2 -,,,,,www.pimsreports.state.pa.us,,,,
