county Name,AUN,LEA,School Code,School,Graduate Count,College Bound,Total College Bound %,2- or 4-Year College or University,2- Or 4-Year University %,Total Postsecondary Bound,Total Postsecondary Bound %,Non-Degree-Granting Postsecondary School,Non-Degree-Granting Postsecondary School %,Specialized Associate Degree Granting Institution,Specialized Assocate Degree Granting Institution %
,,,9999,Baldwin-Whitehall SD,7,0,0.00%,0,0.00%,1,14.29%,1,14.29%,0,0.00%
,103021252,Bethel Park SD,0062,Bethel Park HS,336,292,86.90%,292,86.90%,292,86.90%,0,0.00%,0,0.00%
,,,9999,Bethel Park SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103021453,Brentwood Borough SD,0070,Brentwood SHS,90,57,63.33%,56,62.22%,60,66.67%,3,3.33%,1,1.11%
,,,9999,Brentwood Borough SD,1,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0,0.00%
,103021603,Carlynton SD,0079,Carlynton JSHS,98,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103021752,Chartiers Valley SD,6706,Chartiers Valley HS,255,175,68.63%,173,67.84%,176,69.02%,1,0.39%,2,0.78%
,,,9999,Chartiers Valley SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103021903,Clairton City SD,8094,Clairton MS/HS,34,16,47.06%,16,47.06%,16,47.06%,0,0.00%,0,0.00%
,,,9999,Clairton City SD,3,1,33.33%,1,33.33%,1,33.33%,0,0.00%,0,0.00%
,103022103,Cornell SD,8087,Cornell HS,49,34,69.39%,33,67.35%,38,77.55%,4,8.16%,1,2.04%
,103022253,Deer Lakes SD,0513,Deer Lakes HS,115,72,62.61%,71,61.74%,72,62.61%,0,0.00%,1,0.87%
,103022803,East Allegheny SD,8340,East Allegheny JSHS,123,90,73.17%,71,57.72%,92,74.80%,2,1.63%,19,15.45%
,,,9999,East Allegheny SD,4,0,0.00%,0,0.00%,1,25.00%,1,25.00%,0,0.00%
,103023153,Elizabeth Forward SD,0144,Elizabeth Forward SHS,158,111,70.25%,111,70.25%,114,72.15%,3,1.90%,0,0.00%
,,,9999,Elizabeth Forward SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103023410,Spectrum CS,7648,Spectrum CS,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103023912,Fox Chapel Area SD,0156,Fox Chapel Area HS,341,272,79.77%,272,79.77%,272,79.77%,0,0.00%,0,0.00%
,103024102,Gateway SD,0170,Gateway SHS,231,151,65.37%,148,64.07%,154,66.67%,3,1.30%,3,1.30%
,,,9999,Gateway SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103024603,Hampton Township SD,5190,Hampton HS,230,214,93.04%,213,92.61%,214,93.04%,0,0.00%,1,0.43%
,103024753,Highlands SD,5153,Highlands SHS,150,94,62.67%,88,58.67%,100,66.67%,6,4.00%,6,4.00%
,,,9999,Highlands SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103025002,Keystone Oaks SD,5112,Keystone Oaks HS,140,95,67.86%,89,63.57%,101,72.14%,6,4.29%,6,4.29%
,,,9999,Keystone Oaks SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103026002,McKeesport Area SD,6105,McKeesport Area SHS,208,113,54.33%,111,53.37%,121,58.17%,8,3.85%,2,0.96%
,103026303,Montour SD,5017,Montour HS,247,191,77.33%,188,76.11%,193,78.14%,2,0.81%,3,1.21%
,,,9999,Montour SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103026343,Moon Area SD,4951,Moon SHS,283,224,79.15%,224,79.15%,227,80.21%,3,1.06%,0,0.00%
,103026402,Mt Lebanon SD,0254,Mt Lebanon SHS,425,393,92.47%,392,92.24%,394,92.71%,1,0.24%,1,0.24%
,,,9999,Mt Lebanon SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103026852,North Allegheny SD,8305,North Allegheny HS,628,556,88.54%,556,88.54%,556,88.54%,0,0.00%,0,0.00%
,,,9999,North Allegheny SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103026873,Northgate SD,0053,Northgate MSHS,68,51,75.00%,47,69.12%,51,75.00%,0,0.00%,4,5.88%
,,,9999,Northgate SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103026902,North Hills SD,7101,North Hills SHS,290,243,83.79%,241,83.10%,248,85.52%,5,1.72%,2,0.69%
,103027352,Penn Hills SD,0309,Penn Hills SHS,323,213,65.94%,208,64.40%,229,70.90%,16,4.95%,5,1.55%
,,,9999,Penn Hills SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103027503,Plum Borough SD,0435,Plum SHS,288,227,78.82%,221,76.74%,232,80.56%,5,1.74%,6,2.08%
,,,9999,Plum Borough SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103027753,Quaker Valley SD,0448,Quaker Valley HS,141,120,85.11%,120,85.11%,120,85.11%,0,0.00%,0,0.00%
,,,9999,Quaker Valley SD,3,1,33.33%,1,33.33%,1,33.33%,0,0.00%,0,0.00%
,103028203,Riverview SD,6928,Riverview JSHS,86,72,83.72%,72,83.72%,72,83.72%,0,0.00%,0,0.00%
,,,9999,Riverview SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103028302,Shaler Area SD,0460,Shaler Area HS,323,200,61.92%,200,61.92%,227,70.28%,27,8.36%,0,0.00%
,,,9999,Shaler Area SD,6,1,16.67%,1,16.67%,3,50.00%,2,33.33%,0,0.00%
,103028425,Westinghouse Arts Academy CS,8392,Westinghouse Arts Academy CS,36,13,36.11%,13,36.11%,13,36.11%,0,0.00%,0,0.00%
,103028653,South Allegheny SD,8459,South Allegheny HS,101,76,75.25%,75,74.26%,76,75.25%,0,0.00%,1,0.99%
,,,9999,South Allegheny SD,5,2,40.00%,2,40.00%,2,40.00%,0,0.00%,0,0.00%
,103028703,South Fayette Township SD,0470,South Fayette Twp HS,212,190,89.62%,190,89.62%,197,92.92%,7,3.30%,0,0.00%
,,,9999,South Fayette Township SD,5,1,20.00%,1,20.00%,1,20.00%,0,0.00%,0,0.00%
,103028753,South Park SD,0467,South Park SHS,151,118,78.15%,118,78.15%,121,80.13%,3,1.99%,0,0.00%
,,,9999,South Park SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103028833,Steel Valley SD,0196,Steel Valley SHS,110,65,59.09%,62,56.36%,68,61.82%,3,2.73%,3,2.73%
,,,9999,Steel Valley SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103028853,Sto-Rox SD,0477,Sto-Rox JSHS,96,55,57.29%,52,54.17%,56,58.33%,1,1.04%,3,3.13%
,103029203,Upper Saint Clair SD,0492,Upper Saint Clair HS,338,308,91.12%,307,90.83%,316,93.49%,8,2.37%,1,0.30%
,,,9999,Upper Saint Clair SD,3,1,33.33%,1,33.33%,1,33.33%,0,0.00%,0,0.00%
,103029403,West Allegheny SD,0509,West Allegheny SHS,238,198,83.19%,194,81.51%,204,85.71%,6,2.52%,4,1.68%
,103029553,West Jefferson Hills SD,0523,Thomas Jefferson HS,221,175,79.19%,168,76.02%,176,79.64%,1,0.45%,7,3.17%
,103029603,West Mifflin Area SD,0536,West Mifflin Area HS,243,156,64.20%,149,61.32%,161,66.26%,5,2.06%,7,2.88%
,,,9999,West Mifflin Area SD,8,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,103029902,Woodland Hills SD,0107,Woodland Hills HS,245,149,60.82%,149,60.82%,167,68.16%,18,7.35%,0,0.00%
,,,9999,Woodland Hills SD,9,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,115220003,Pennsylvania Distance Learning CS,7821,Pennsylvania Distance Learning CS,65,31,47.69%,29,44.62%,37,56.92%,6,9.23%,2,3.08%
,160028259,Propel CS-Braddock Hills,8129,Propel CS-Braddock Hills,54,34,62.96%,28,51.85%,35,64.81%,1,1.85%,6,11.11%
,,,9999,Propel CS-Braddock Hills,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Armstrong,128030603,Apollo-Ridge SD,2320,Apollo-Ridge HS,60,44,73.33%,44,73.33%,45,75.00%,1,1.67%,0,0.00%
,,,9999,Apollo-Ridge SD,8,1,12.50%,1,12.50%,1,12.50%,0,0.00%,0,0.00%
,128030852,Armstrong SD,7640,West Shamokin JSHS,63,39,61.90%,37,58.73%,40,63.49%,1,1.59%,2,3.17%
,,,8342,Armstrong JSHS,183,82,44.81%,80,43.72%,85,46.45%,3,1.64%,2,1.09%
,,,9999,Armstrong SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,128033053,Freeport Area SD,0594,Freeport Area SHS,113,88,77.88%,82,72.57%,89,78.76%,1,0.88%,6,5.31%
,128034503,Leechburg Area SD,7923,Leechburg Area HS,69,34,49.28%,30,43.48%,34,49.28%,0,0.00%,4,5.80%
,,,9999,Leechburg Area SD,5,2,40.00%,1,20.00%,2,40.00%,0,0.00%,1,20.00%
,128034607,Lenape Tech,4807,Lenape Tech,159,52,32.70%,51,32.08%,56,35.22%,4,2.52%,1,0.63%
Beaver,127040002,Lincoln Park Performing Arts CS,7859,Lincoln Park Performing Arts CS,146,124,84.93%,124,84.93%,131,89.73%,7,4.79%,0,0.00%
,127040503,Aliquippa SD,8086,Aliquippa JSHS,57,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,127040703,Ambridge Area SD,6555,Ambridge Area HS,189,137,72.49%,118,62.43%,137,72.49%,0,0.00%,19,10.05%
,,,9999,Ambridge Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,127041203,Beaver Area SD,0640,Beaver Area SHS,145,92,63.45%,84,57.93%,94,64.83%,2,1.38%,8,5.52%
,,,9999,Beaver Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,127041503,Big Beaver Falls Area SD,0649,Beaver Falls Area SHS,95,47,49.47%,41,43.16%,61,64.21%,14,14.74%,6,6.32%
,,,9999,Big Beaver Falls Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,127041603,Blackhawk SD,6707,Blackhawk HS,175,137,78.29%,134,76.57%,145,82.86%,8,4.57%,3,1.71%
,,,9999,Blackhawk SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,127042003,Central Valley SD,8044,Central Valley HS,165,119,72.12%,118,71.52%,121,73.33%,2,1.21%,1,0.61%
,,,9999,Central Valley SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,127042853,Freedom Area SD,6563,Freedom Area SHS,94,32,34.04%,32,34.04%,32,34.04%,0,0.00%,0,0.00%
,,,9999,Freedom Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,127043430,Pennsylvania Cyber CS,7650,Pennsylvania Cyber CS,"1,251",475,37.97%,402,32.13%,485,38.77%,10,0.80%,73,5.84%
,,,9999,Pennsylvania Cyber CS,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,127044103,Hopewell Area SD,0675,Hopewell SHS,139,84,60.43%,84,60.43%,91,65.47%,7,5.04%,0,0.00%
,,,9999,Hopewell Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,127045653,New Brighton Area SD,0695,New Brighton Area HS,105,61,58.10%,54,51.43%,64,60.95%,3,2.86%,7,6.67%
,127045853,Riverside Beaver County SD,0700,Riverside HS,119,81,68.07%,75,63.03%,81,68.07%,0,0.00%,6,5.04%
,127046903,Rochester Area SD,8000,Rochester High School,47,30,63.83%,23,48.94%,31,65.96%,1,2.13%,7,14.89%
,127047404,South Side Area SD,0714,South Side HS,85,57,67.06%,57,67.06%,58,68.24%,1,1.18%,0,0.00%
,127049303,Western Beaver County SD,0719,Western Beaver Co JSHS,56,32,57.14%,30,53.57%,36,64.29%,4,7.14%,2,3.57%
Bedford,108051003,Bedford Area SD,0726,Bedford SHS,147,62,42.18%,62,42.18%,68,46.26%,6,4.08%,0,0.00%
,108051503,Chestnut Ridge SD,0732,Chestnut Ridge SHS,110,74,67.27%,63,57.27%,81,73.64%,7,6.36%,11,10.00%
,108053003,Everett Area SD,7897,Everett Area HS,97,38,39.18%,38,39.18%,44,45.36%,6,6.19%,0,0.00%
,108056004,Northern Bedford County SD,8436,Northern Bedford County HS,67,40,59.70%,40,59.70%,41,61.19%,1,1.49%,0,0.00%
,,,9999,Northern Bedford County SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,108057079,HOPE for Hyndman CS,8154,HOPE for Hyndman CS,15,4,26.67%,3,20.00%,4,26.67%,0,0.00%,1,6.67%
,108058003,Tussey Mountain SD,0753,Tussey Mountain HS,70,29,41.43%,27,38.57%,30,42.86%,1,1.43%,2,2.86%
,,,9999,Tussey Mountain SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Berks,114060392,I-LEAD Charter School,8155,I-LEAD Charter School,93,23,24.73%,23,24.73%,28,30.11%,5,5.38%,0,0.00%
,114060503,Antietam SD,0820,Antietam MS/HS,67,45,67.16%,45,67.16%,46,68.66%,1,1.49%,0,0.00%
,,,9999,Antietam SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114060753,Boyertown Area SD,6306,Boyertown Area SHS,480,334,69.58%,329,68.54%,341,71.04%,7,1.46%,5,1.04%
,,,9999,Boyertown Area SD,12,4,33.33%,4,33.33%,5,41.67%,1,8.33%,0,0.00%
,114060853,Brandywine Heights Area SD,6308,Brandywine Heights HS,112,74,66.07%,74,66.07%,74,66.07%,0,0.00%,0,0.00%
,114061103,Conrad Weiser Area SD,0777,Conrad Weiser HS,213,160,75.12%,153,71.83%,161,75.59%,1,0.47%,7,3.29%
,,,9999,Conrad Weiser Area SD,7,2,28.57%,2,28.57%,2,28.57%,0,0.00%,0,0.00%
,114061503,Daniel Boone Area SD,4810,Daniel Boone Area HS,257,189,73.54%,189,73.54%,194,75.49%,5,1.95%,0,0.00%
,,,9999,Daniel Boone Area SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114062003,Exeter Township SD,0788,Exeter Twp SHS,323,205,63.47%,201,62.23%,210,65.02%,5,1.55%,4,1.24%
,,,9999,Exeter Township SD,4,1,25.00%,1,25.00%,1,25.00%,0,0.00%,0,0.00%
,114062503,Fleetwood Area SD,5023,Fleetwood SHS,206,149,72.33%,149,72.33%,149,72.33%,0,0.00%,0,0.00%
,,,9999,Fleetwood Area SD,2,1,50.00%,1,50.00%,1,50.00%,0,0.00%,0,0.00%
,114063003,Governor Mifflin SD,0802,Governor Mifflin SHS,300,202,67.33%,202,67.33%,210,70.00%,8,2.67%,0,0.00%
,114063503,Hamburg Area SD,0808,Hamburg Area HS,177,112,63.28%,103,58.19%,112,63.28%,0,0.00%,9,5.08%
,,,9999,Hamburg Area SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114064003,Kutztown Area SD,0816,Kutztown Area SHS,101,66,65.35%,65,64.36%,69,68.32%,3,2.97%,1,0.99%
,,,9999,Kutztown Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114065503,Muhlenberg SD,6610,Muhlenberg HS,302,216,71.52%,193,63.91%,216,71.52%,0,0.00%,23,7.62%
,,,9999,Muhlenberg SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114066503,Oley Valley SD,6318,Oley Valley SHS,130,88,67.69%,88,67.69%,90,69.23%,2,1.54%,0,0.00%
,,,9999,Oley Valley SD,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114067002,Reading SD,8116,Reading SHS,913,347,38.01%,311,34.06%,353,38.66%,6,0.66%,36,3.94%
,,,9999,Reading SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114067503,Schuylkill Valley SD,0864,Schuylkill Valley HS,143,99,69.23%,99,69.23%,103,72.03%,4,2.80%,0,0.00%
,,,9999,Schuylkill Valley SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114068003,Tulpehocken Area SD,4670,Tulpehocken JSHS,117,66,56.41%,66,56.41%,71,60.68%,5,4.27%,0,0.00%
,,,9999,Tulpehocken Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114068103,Twin Valley SD,0873,Twin Valley HS,259,194,74.90%,180,69.50%,195,75.29%,1,0.39%,14,5.41%
,,,9999,Twin Valley SD,17,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114069103,Wilson SD,6980,Wilson HS,456,255,55.92%,254,55.70%,258,56.58%,3,0.66%,1,0.22%
,,,9999,Wilson SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,114069353,Wyomissing Area SD,0887,Wyomissing Area JSHS,158,128,81.01%,127,80.38%,128,81.01%,0,0.00%,1,0.63%
,,,9999,Wyomissing Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Blair,108070001,Central PA Digital Learning Foundation C,7720,Central PA Digital Lrng Foundation CS,30,15,50.00%,15,50.00%,16,53.33%,1,3.33%,0,0.00%
,108070502,Altoona Area SD,0913,Altoona Area HS,482,271,56.22%,252,52.28%,287,59.54%,16,3.32%,19,3.94%
,108071003,Bellwood-Antis SD,0917,Bellwood-Antis HS,100,61,61.00%,61,61.00%,61,61.00%,0,0.00%,0,0.00%
,108071504,Claysburg-Kimmel SD,0921,Claysburg-Kimmel HS,61,28,45.90%,20,32.79%,28,45.90%,0,0.00%,8,13.11%
,108073503,Hollidaysburg Area SD,5207,Hollidaysburg Area SHS,267,166,62.17%,164,61.42%,172,64.42%,6,2.25%,2,0.75%
,,,9999,Hollidaysburg Area SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,108077503,Spring Cove SD,0941,Central HS,140,73,52.14%,70,50.00%,79,56.43%,6,4.29%,3,2.14%
,,,9999,Spring Cove SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,108078003,Tyrone Area SD,0949,Tyrone Area HS,127,85,66.93%,81,63.78%,87,68.50%,2,1.57%,4,3.15%
,108079004,Williamsburg Community SD,0951,Williamsburg Community JSHS,33,16,48.48%,16,48.48%,16,48.48%,0,0.00%,0,0.00%
Bradford,117080503,Athens Area SD,0958,Athens Area HS,147,70,47.62%,69,46.94%,70,47.62%,0,0.00%,1,0.68%
,117081003,Canton Area SD,0988,Canton JSHS,78,30,38.46%,30,38.46%,35,44.87%,5,6.41%,0,0.00%
,,,9999,Canton Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,117083004,Northeast Bradford SD,0964,Northeast Bradford JSHS,56,34,60.71%,34,60.71%,35,62.50%,1,1.79%,0,0.00%
,117086003,Sayre Area SD,0965,Sayre Area HS,65,42,64.62%,41,63.08%,44,67.69%,2,3.08%,1,1.54%
,117086503,Towanda Area SD,5208,Towanda Area JSHS,100,66,66.00%,61,61.00%,68,68.00%,2,2.00%,5,5.00%
,117086653,Troy Area SD,1000,Troy Area JSHS,100,57,57.00%,57,57.00%,58,58.00%,1,1.00%,0,0.00%
,117089003,Wyalusing Area SD,1005,Wyalusing Valley JSHS,85,48,56.47%,45,52.94%,50,58.82%,2,2.35%,3,3.53%
Bucks,122090001,Center for Student Learning CS at Pennsb,7726,Center for Student Lrng CS Pennsbury,25,5,20.00%,5,20.00%,7,28.00%,2,8.00%,0,0.00%
,122091002,Bensalem Township SD,5116,Bensalem Twp HS,465,283,60.86%,276,59.35%,290,62.37%,7,1.51%,7,1.51%
,,,9999,Bensalem Township SD,10,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,122091303,Bristol Borough SD,1014,Bristol HS,50,34,68.00%,34,68.00%,36,72.00%,2,4.00%,0,0.00%
,,,9999,Bristol Borough SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,122091352,Bristol Township SD,1029,Truman SHS,375,206,54.93%,206,54.93%,225,60.00%,19,5.07%,0,0.00%
,,,9999,Bristol Township SD,43,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,122091457,Bucks County Technical High School,1030,Bucks County Technical High School,341,188,55.13%,186,54.55%,207,60.70%,19,5.57%,2,0.59%
,122092002,Centennial SD,1040,William Tennent HS,389,301,77.38%,300,77.12%,307,78.92%,6,1.54%,1,0.26%
,,,9999,Centennial SD,9,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,122092102,Central Bucks SD,1043,Central Bucks HS-West,488,420,86.07%,419,85.86%,422,86.48%,2,0.41%,1,0.20%
,,,5133,Central Bucks HS-East,490,451,92.04%,451,92.04%,453,92.45%,2,0.41%,0,0.00%
,,,7790,Central Bucks HS-South,559,491,87.84%,490,87.66%,495,88.55%,4,0.72%,1,0.18%
,,,9999,Central Bucks SD,11,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,122092353,Council Rock SD,5096,Council Rock HS North,387,347,89.66%,345,89.15%,352,90.96%,5,1.29%,2,0.52%
,,,7749,Council Rock HS South,495,436,88.08%,435,87.88%,439,88.69%,3,0.61%,1,0.20%
,,,9999,Council Rock SD,4,1,25.00%,1,25.00%,1,25.00%,0,0.00%,0,0.00%
,122093140,School Lane CS,7568,School Lane CS,59,44,74.58%,44,74.58%,48,81.36%,4,6.78%,0,0.00%
,,,9999,School Lane CS,1,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0,0.00%
,122097203,Morrisville Borough SD,8381,Morrisville HS,54,35,64.81%,34,62.96%,36,66.67%,1,1.85%,1,1.85%
,,,9999,Morrisville Borough SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,122097502,Neshaminy SD,6455,Neshaminy HS,626,512,81.79%,512,81.79%,543,86.74%,31,4.95%,0,0.00%
,,,9999,Neshaminy SD,9,3,33.33%,3,33.33%,3,33.33%,0,0.00%,0,0.00%
,122097604,New Hope-Solebury SD,1084,New Hope-Solebury HS,100,95,95.00%,95,95.00%,95,95.00%,0,0.00%,0,0.00%
,122098003,Palisades SD,1094,Palisades HS,141,114,80.85%,114,80.85%,117,82.98%,3,2.13%,0,0.00%
,,,9999,Palisades SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,122098103,Pennridge SD,1100,Pennridge HS,521,368,70.63%,366,70.25%,374,71.79%,6,1.15%,2,0.38%
